scale,n_basis,n_replicates,mean_reference_bandwidth,selected_regularization_mean,validation_normalized_rmse_mean,validation_normalized_rmse_std,validation_normalized_rmse_sem,selected_normalized_rmse_mean,selected_normalized_rmse_std,selected_normalized_rmse_sem,selected_median_direction_error_deg_mean,selected_median_direction_error_deg_std,selected_median_direction_error_deg_sem,selected_vector_gain_through_origin_mean,selected_vector_gain_through_origin_std,selected_vector_gain_through_origin_sem,selected_mean_component_calibration_slope_mean,selected_mean_component_calibration_slope_std,selected_mean_component_calibration_slope_sem,fixed_normalized_rmse_mean,fixed_normalized_rmse_std,fixed_normalized_rmse_sem,fixed_median_direction_error_deg_mean,fixed_median_direction_error_deg_std,fixed_median_direction_error_deg_sem,fixed_vector_gain_through_origin_mean,fixed_vector_gain_through_origin_std,fixed_vector_gain_through_origin_sem
fiducial,1792,5,22.031778990223682,0.01,0.08101806459859792,0.002783337988089075,0.0012447465891449341,0.07226343324405989,0.0032428180152857295,0.0014502323041679685,2.584104964995954,0.15686876884891618,0.0701538461385756,0.9948441025310111,0.0014543828583654039,0.0006504197873230983,0.9940651759526966,0.0014827131036093102,0.0006630894581600213,0.07226343324405989,0.0032428180152857295,0.0014502323041679685,2.584104964995954,0.15686876884891618,0.0701538461385756,0.9948441025310111,0.0014543828583654039,0.0006504197873230983
fiducial,2048,5,22.031778990223682,0.01,0.08738482452199015,0.0021047723361499564,0.000941282804158468,0.075325902145436,0.0034211690778719536,0.001529993324128392,2.691536829600237,0.1610974680679341,0.07204497792060047,0.9939286780256646,0.0012299568099743145,0.0005500534072982717,0.9930404558835232,0.001407941475510184,0.0006296505695164253,0.075325902145436,0.0034211690778719536,0.001529993324128392,2.691536829600237,0.1610974680679341,0.07204497792060047,0.9939286780256646,0.0012299568099743145,0.0005500534072982717
fine,256,5,16.837484516735383,0.01,0.36085522784069013,0.005370326969443124,0.002401683233015052,0.36291391081930485,0.012537001744568767,0.0056067176269778436,15.747328477682164,0.9000724714023859,0.40252464614639405,0.8792027309286882,0.010137515706753713,0.004533634848654625,0.8727465037544364,0.010049421889054597,0.004494238095700085,0.36291391081930485,0.012537001744568767,0.0056067176269778436,15.747328477682164,0.9000724714023859,0.40252464614639405,0.8792027309286882,0.010137515706753713,0.004533634848654625
fine,384,5,16.837484516735383,0.01,0.29880258565830536,0.005027164653168961,0.00224821637971399,0.2967847425954303,0.011530057511116779,0.005156398475867831,12.174161796053491,0.5502626702202109,0.24608494721858815,0.9198404070153554,0.006164544953909977,0.002756868313459203,0.9149980018983632,0.006089045937877711,0.0027231041270427045,0.2967847425954303,0.011530057511116779,0.005156398475867831,12.174161796053491,0.5502626702202109,0.24608494721858815,0.9198404070153554,0.006164544953909977,0.002756868313459203
fine,512,5,16.837484516735383,0.01,0.2576715272779321,0.0073942777537969444,0.0033068215404008844,0.25129243935948076,0.004294455546049438,0.0019205389054635044,10.174590028551354,0.36434173597191233,0.16293857773469528,0.9417779995022679,0.0053802469617338766,0.0024061195884347315,0.9382973809175812,0.006145996393060873,0.0027485731448705255,0.25129243935948076,0.004294455546049438,0.0019205389054635044,10.174590028551354,0.36434173597191233,0.16293857773469528,0.9417779995022679,0.0053802469617338766,0.0024061195884347315
fine,640,5,16.837484516735383,0.01,0.22025837200082563,0.0061296133393373845,0.002741246420509575,0.21476834226452723,0.0015994848718966401,0.000715311380508686,8.675297107583134,0.21542177874724067,0.09633954822254992,0.9579944998509763,0.0030668255763733267,0.0013715260927811461,0.9553678553641504,0.003932597438724771,0.0017587110402260304,0.21476834226452723,0.0015994848718966401,0.000715311380508686,8.675297107583134,0.21542177874724067,0.09633954822254992,0.9579944998509763,0.0030668255763733267,0.0013715260927811461
fine,768,5,16.837484516735383,0.01,0.1988117422101236,0.005730315037629013,0.0025626747913255477,0.19469456471689123,0.005332148410379016,0.0023846092623449845,7.72439030424705,0.41826582991706834,0.187054165671986,0.9664590987159718,0.004698118149346229,0.0021010623096527356,0.9639021597412103,0.005495640440758129,0.0024577251210864165,0.19469456471689123,0.005332148410379016,0.0023846092623449845,7.72439030424705,0.41826582991706834,0.187054165671986,0.9664590987159718,0.004698118149346229,0.0021010623096527356
fine,896,5,16.837484516735383,0.01,0.18232255939835898,0.004242770410430124,0.0018974246101292878,0.1778931955836734,0.007067291755998359,0.0031605889566472373,7.046600518219852,0.32579719614635855,0.14570093549241803,0.9726370490381138,0.00412736109643625,0.0018458119958639039,0.970410502381538,0.004416448584704612,0.00197509585090645,0.1778931955836734,0.007067291755998359,0.0031605889566472373,7.046600518219852,0.32579719614635855,0.14570093549241803,0.9726370490381138,0.00412736109643625,0.0018458119958639039
fine,1024,5,16.837484516735383,0.01,0.17338141791684997,0.004732913550181527,0.002116623285967151,0.16669165168780037,0.008296683634891647,0.0037103897190855534,6.41393491352124,0.38709748967425056,0.17311526016622944,0.9761124117130047,0.0030776877089158695,0.001376383786130294,0.9744496606421069,0.0037532205504495373,0.0016784912570708688,0.16669165168780037,0.008296683634891647,0.0037103897190855534,6.41393491352124,0.38709748967425056,0.17311526016622944,0.9761124117130047,0.0030776877089158695,0.001376383786130294
fine,1280,5,16.837484516735383,0.01,0.1630755602970778,0.010979927183636572,0.004910372714121838,0.15232107424725094,0.00964472205478169,0.004313250827716661,5.513927597346454,0.3576109361261108,0.1599284725350638,0.9801380062912655,0.0017285845555550217,0.000773046514215458,0.9786191585677798,0.0025933321645809047,0.001159773401647915,0.15232107424725094,0.00964472205478169,0.004313250827716661,5.513927597346454,0.3576109361261108,0.1599284725350638,0.9801380062912655,0.0017285845555550217,0.000773046514215458
fine,1536,5,16.837484516735383,0.01,0.15890445063710068,0.0077482269147028885,0.0034651124172738247,0.1464044379106491,0.007503991661951856,0.0033558870917431943,5.199712738958127,0.1857917991171169,0.08308861849757176,0.9826389177967135,0.0006528084412040061,0.0002919448101635664,0.9813036624675648,0.001445182381024576,0.0006463052087711908,0.1464044379106491,0.007503991661951856,0.0033558870917431943,5.199712738958127,0.1857917991171169,0.08308861849757176,0.9826389177967135,0.0006528084412040061,0.0002919448101635664
