replicate,scale,n_basis,selected_normalized_rmse,local_normalized_rmse,diffusion_minus_local_nrmse
5,fiducial,640,0.1024758380470783,0.1479569002566527,-0.0454810622095744
1,fiducial,768,0.092382382618249,0.1525152599408807,-0.060132877322631687
2,fiducial,768,0.0943708209512614,0.1591823433030997,-0.06481152235183829
3,fiducial,768,0.0914956534760828,0.1585269837533651,-0.06703133027728231
4,fiducial,768,0.0923074976971311,0.164069832691033,-0.0717623349939019
5,fiducial,768,0.0870509465065579,0.1479569002566527,-0.060905953750094804
1,fiducial,896,0.0834541558067217,0.1525152599408807,-0.06906110413415899
2,fiducial,896,0.0878739872643539,0.1591823433030997,-0.07130835603874579
3,fiducial,896,0.0811084804379631,0.1585269837533651,-0.077418503315402
4,fiducial,896,0.083086994846636,0.164069832691033,-0.08098283784439701
5,fiducial,896,0.0792397069910698,0.1479569002566527,-0.0687171932655829
1,fiducial,1024,0.0759082038251141,0.1525152599408807,-0.0766070561157666
2,fiducial,1024,0.08212344460488048,0.1591823433030997,-0.0770588986982192
3,fiducial,1024,0.07685857356662643,0.1585269837533651,-0.08166841018673868
4,fiducial,1024,0.07815955709111096,0.164069832691033,-0.08591027559992205
5,fiducial,1024,0.07378668555558926,0.1479569002566527,-0.07417021470106344
1,fiducial,1280,0.06949332697918545,0.1525152599408807,-0.08302193296169524
2,fiducial,1280,0.07595644882721331,0.1591823433030997,-0.08322589447588638
3,fiducial,1280,0.07135457871198023,0.1585269837533651,-0.08717240504138488
4,fiducial,1280,0.07334595444791517,0.164069832691033,-0.09072387824311784
5,fiducial,1280,0.06831868316517316,0.1479569002566527,-0.07963821709147954
1,fiducial,1536,0.06843139553784916,0.1525152599408807,-0.08408386440303153
2,fiducial,1536,0.07428363353428007,0.1591823433030997,-0.08489870976881962
3,fiducial,1536,0.0695413462167117,0.1585269837533651,-0.08898563753665341
4,fiducial,1536,0.07266706048707758,0.164069832691033,-0.09140277220395543
5,fiducial,1536,0.06761844310388043,0.1479569002566527,-0.08033845715277227
1,fiducial,1792,0.06980987725729604,0.1525152599408807,-0.08270538268358466
2,fiducial,1792,0.0767639272030065,0.1591823433030997,-0.08241841610009319
3,fiducial,1792,0.07352874769054855,0.1585269837533651,-0.08499823606281655
4,fiducial,1792,0.07269327961068922,0.164069832691033,-0.09137655308034379
5,fiducial,1792,0.06852133445875909,0.1479569002566527,-0.07943556579789361
1,fiducial,2048,0.0727882827406985,0.1525152599408807,-0.0797269772001822
2,fiducial,2048,0.08025575294960267,0.1591823433030997,-0.07892659035349701
3,fiducial,2048,0.0760783621560166,0.1585269837533651,-0.0824486215973485
4,fiducial,2048,0.0760518070950909,0.164069832691033,-0.0880180255959421
5,fiducial,2048,0.07145530578577133,0.1479569002566527,-0.07650159447088137
1,fine,256,0.3668172626060281,0.2166928515416653,0.1501244110643628
2,fine,256,0.3831548120970717,0.2254056642787575,0.1577491478183142
3,fine,256,0.3552092274265785,0.2278770109014294,0.12733221652514912
4,fine,256,0.3525396492966703,0.2242742825280616,0.1282653667686087
5,fine,256,0.3568486026701756,0.2042442053833491,0.1526043972868265
1,fine,384,0.3050116905104119,0.2166928515416653,0.0883188389687466
2,fine,384,0.3125177034966036,0.2254056642787575,0.08711203921784613
3,fine,384,0.2894373291056067,0.2278770109014294,0.06156031820417732
4,fine,384,0.2849722014012806,0.2242742825280616,0.06069791887321899
5,fine,384,0.2919847884632486,0.2042442053833491,0.08774058307989951
1,fine,512,0.2560748217291039,0.2166928515416653,0.03938197018743861
2,fine,512,0.2559147774436485,0.2254056642787575,0.030509113164890994
3,fine,512,0.2480974444867948,0.2278770109014294,0.020220433585365405
4,fine,512,0.2480394801112619,0.2242742825280616,0.02376519758320028
5,fine,512,0.2483356730265949,0.2042442053833491,0.04409146764324581
1,fine,640,0.2166463492013525,0.2166928515416653,-4.6502340312781776e-05
2,fine,640,0.2159090383858823,0.2254056642787575,-0.009496625892875199
3,fine,640,0.2150005505284677,0.2278770109014294,-0.012876460372961696
4,fine,640,0.2129596151713262,0.2242742825280616,-0.01131466735673542
5,fine,640,0.2133261580356075,0.2042442053833491,0.009081952652258418
1,fine,768,0.1950248514810502,0.2166928515416653,-0.02166800006061509
2,fine,768,0.2001714711431374,0.2254056642787575,-0.025234193135620087
3,fine,768,0.19892269028343,0.2278770109014294,-0.028954320617999407
