replicate,label_seed,n_basis,regularization_strength,n_train,n_validation,n_test,validation_parent_nrmse,validation_unweighted_nrmse,parent_test_nrmse,unweighted_test_nrmse,test_median_direction_error_deg,test_vector_gain,observed_octant_nrmse_std,observed_worst_octant_nrmse,observed_octant_nrmse_range,query_region_nrmse,query_region_median_direction_error_deg,query_region_vector_gain,query_octant_nrmse_std,query_worst_octant_nrmse,query_octant_nrmse_range,query_common_nrmse,query_near_boundary_nrmse,query_far_boundary_nrmse
2,20261213,1536,0.01,7009,1501,1503,0.0436942586359449,0.0321580531119686,0.04571103790874,0.0336506926132899,0.5822147439799988,0.99908206121664,0.0239514925451254,0.0775390456478438,0.0644248533766209,0.0359515151102797,1.3649995755479107,0.998284811427775,0.009330720514265,0.0485652013536911,0.0295700471673927,0.0204816682696626,0.0353964674226451,0.0378167616592826
2,20261213,2048,0.01,7009,1501,1503,0.0379918278687981,0.0276469014775344,0.0382511124394122,0.0280258784778509,0.4655505280223067,0.9996960052834368,0.020143483972957,0.0605536827891999,0.0517703277935151,0.0336798942490489,1.110815735410905,0.9997812204475508,0.0070469657066524,0.0461986132657046,0.0249532498616777,0.0210951333798065,0.0338141208228335,0.0344100920796479
2,20261213,2560,0.01,7009,1501,1503,0.0317307869028364,0.0234114023687588,0.0338801172316888,0.0249275897953615,0.3778305473343427,0.9989616700915754,0.0189504283753572,0.0562582247916088,0.0477666358562876,0.031770598780451,1.0431978241469064,0.9995599737197376,0.0061911270257326,0.0405186408841234,0.0207818479881668,0.0221559783004933,0.0340326636578776,0.0307730526481643
2,20261213,3072,0.01,7009,1501,1503,0.031912105742268,0.0233042383354877,0.0355651356084175,0.0258640016461152,0.3355676888009256,0.9987626723100697,0.0199216528999096,0.0635768840013227,0.0555199115450128,0.03148175155583,1.0110896820839137,0.9987940575254372,0.0062777490643212,0.0418931795609317,0.0191292348173844,0.0229774699382444,0.0348007829982502,0.0301137585169467
2,20261213,3584,0.01,7009,1501,1503,0.0352344281435965,0.025478057683323,0.0355810207441458,0.0259031964671917,0.3366217535480141,0.9987445260314044,0.0191447476321648,0.062097462367595,0.0539936850218892,0.032174380449358,0.9497327818171476,0.9993345322194236,0.0065909245036146,0.0443556614380626,0.022818011380757,0.0226255223246724,0.0353329654800364,0.0316030587917617
2,20261213,4096,0.01,7009,1501,1503,0.0375214137808128,0.0273034066483136,0.0369945622021942,0.0268978761080319,0.3466771805052516,0.9990297828167272,0.0193746359464135,0.063698248519136,0.0549889299319611,0.0343356235246706,0.9818396862399428,0.9990913421690568,0.0075416064831763,0.0472067238400215,0.0237153467735608,0.0240155824611475,0.0363880690266653,0.0347800902894367
3,20261223,512,0.01,7009,1501,1503,0.0904025044781994,0.0673115672790733,0.087920459121721,0.064244619671404,1.2362617711052657,0.9973029588595506,0.0255871084330091,0.1111955952415646,0.0699908244669217,0.0684319220535457,2.272227613260267,0.9931965854400142,0.0179893944148276,0.0930396501903185,0.0611937650204558,0.0349560156187864,0.0609265362588587,0.0755107399009609
3,20261223,1024,0.01,7009,1501,1503,0.0586326650065865,0.0436672707691877,0.0555850949791284,0.0407580871245804,0.792388737293851,0.9985419715265088,0.0217276869793317,0.0889806222416477,0.0683794897561197,0.049391666044798,1.6712020393752605,0.9984582747993044,0.0137352531838699,0.063396557170491,0.0373239697451434,0.0283666756779927,0.043078600814143,0.0574007778495776
3,20261223,1536,0.01,7009,1501,1503,0.0466154139756907,0.0348110664588416,0.0423916317072484,0.0313359018625593,0.5656840809017887,0.9997428273553386,0.0177671103020447,0.0721585552006235,0.0539367517180122,0.0358505143000923,1.2875135564978768,0.9975705344406978,0.009049076039431,0.0462897485788211,0.0294880802848591,0.0197870813408306,0.0345516704890049,0.0383796248835806
3,20261223,2048,0.01,7009,1501,1503,0.0412595215700603,0.0304356980058422,0.0353761675245188,0.025982893849128,0.4487011689275999,0.9997982346979026,0.0144948342735174,0.0622662191901522,0.0466632392927685,0.0333366070772569,1.133864299038209,0.999594392744014,0.0077930477156977,0.0448118756918456,0.0229337004618076,0.0200795630077771,0.0335546683578541,0.0336703702819329
3,20261223,2560,0.01,7009,1501,1503,0.0401364131145724,0.0294621551148682,0.0283212765283507,0.0209335740047387,0.3827799271389726,0.9996423622992414,0.0084158698065568,0.036953076237289,0.0260425614840813,0.0314712797724041,1.1218697661538433,0.9995592730119786,0.0061016554934696,0.0386477871301472,0.0190900823588032,0.0216089187097354,0.0326518571652015,0.0314320928580218
3,20261223,3072,0.01,7009,1501,1503,0.0420685739651553,0.0307220854148999,0.0288795577177475,0.0212799962450601,0.3352567490480859,0.9996319991033188,0.0079853639272543,0.0389947140365407,0.0271370981516246,0.031459424374834,1.1025246256844352,0.9990828969167096,0.0059073549250365,0.0405393992674431,0.0168240162118618,0.0231541935236375,0.0346217367798967,0.0298042661066285
3,20261223,3584,0.01,7009,1501,1503,0.043589398279002,0.0318276399427461,0.028546373660603,0.021138640905865,0.345805828999538,0.9993215621514348,0.0075214320375035,0.0356720453965156,0.0222432184167536,0.0313110179770756,1.0284927596613471,0.9996285506209804,0.0053789462689433,0.0399355533308547,0.017170774469213,0.0234209329157865,0.0342692685685666,0.030631155254104
3,20261223,4096,0.01,7009,1501,1503,0.0452959563948623,0.0330785087541969,0.0285797031685287,0.0214511934608613,0.348904533159164,0.9992727643738047,0.0078564963840788,0.0362112515599356,0.0242883415188134,0.0345057995778776,1.095611047557136,0.9995247322288084,0.0086248561891972,0.0472806975879743,0.0253065198974913,0.0240810615245178,0.0363412115078431,0.0343066663025653
4,20270103,512,0.01,7009,1501,1503,0.0903087969404723,0.0669083683250144,0.093000064857977,0.0667169076247839,1.3476061744108627,0.9945178662856508,0.0253888481961431,0.1276178364585188,0.0794045213595663,0.0679915739376718,2.265864771689916,0.9932307911255064,0.0186573514453613,0.0932396863484366,0.0599931239770782,0.033792386811554,0.0607938990153738,0.0746873407673703
4,20270103,1024,0.01,7009,1501,1503,0.0595425383025646,0.0442446226225686,0.0578552890025229,0.0417715760187161,0.7650651882088839,0.9979557361625166,0.0170379193357517,0.071968133478607,0.0492635275697005,0.0493191982289661,1.6335524137086632,0.9985510117831156,0.0141592382592605,0.0661142846376491,0.0401389968773145,0.0283854074452201,0.0429187005009523,0.0570822112502979
4,20270103,1536,0.01,7009,1501,1503,0.0482789616550439,0.0358002423408151,0.0422812594108783,0.0307107696202891,0.5819217970344869,0.9985851983771552,0.0125000972649249,0.0544303067309944,0.034302359411934,0.0363968029615038,1.2287533406559412,0.9979715156052504,0.0089627757417595,0.046004584385399,0.0269312766020111,0.0216060302785892,0.0349716645006984,0.0389892308821374
4,20270103,2048,0.01,7009,1501,1503,0.0395549527313419,0.0291863495161742,0.0375239828345248,0.0269879336360077,0.4525596227836554,0.9988240117909856,0.0135578959251364,0.0515262049992212,0.0389978050994032,0.0330670277026932,1.1105827881033847,0.9992768195835564,0.0064574935503973,0.0447544419544864,0.0220574690807073,0.0216939559308979,0.0333000353567416,0.0339562095287681
4,20270103,2560,0.01,7009,1501,1503,0.0389109834806505,0.0285317249433761,0.0321090499834896,0.0230564735333585,0.3582554820015688,0.9991656004786146,0.0116911199762413,0.0452443519361337,0.0323954489904721,0.0313689653085143,0.9908681330096988,0.9993753202139036,0.0053914265154896,0.038861973205826,0.0184234512539977,0.0227801885526646,0.0323865508455818,0.0314661809858962
4,20270103,3072,0.01,7009,1501,1503,0.0398787401523522,0.029068235931873,0.0335977338788114,0.0238795476167981,0.3216042134908657,0.9991883905196878,0.0111607345548853,0.0456375863777366,0.0306392236333771,0.0306864800763082,0.9781047785628344,0.999399587183346,0.005402714373426,0.0386196555045256,0.0156398460442121,0.0229341971533205,0.034217600357342,0.0294078082061785
