replicate,reference_seed,label_seed,run_id,scale,selector,fit_type,n_basis,n_affine_modes,n_diffusion_modes,regularization_strength,penalty_power,validation_nrmse_radial,validation_nrmse_3d,test_rmse_radial,test_reference_rms_radial,test_nrmse_radial,test_rmse_tangential,test_reference_rms_tangential,test_nrmse_tangential,test_rmse_3d,test_reference_rms_3d,test_nrmse_3d,test_predicted_rms_3d,test_predicted_to_reference_rms_3d,test_predicted_rms_tangential,test_predicted_to_reference_rms_tangential,test_direction_error_median_deg,test_direction_error_p90_deg,test_radial_correlation,test_radial_mean_bias
2,20260815,20260814,ref20260815_label20260814_fiducial,fiducial,potential_3d_oracle_validation_selected_diagnostic,vector,514,3,511,0.0001,2.0,0.3045155452048079,0.3236890532667837,88.08959411634099,258.86991734853746,0.3402851710951754,100.58612447741102,299.24089973268013,0.33613762212073045,133.70618919469257,395.67505630360694,0.33791917651765735,383.49550791261066,0.9692183062920935,300.28203482942547,1.003479253997951,15.237597764401615,36.78903092942929,0.9144018284159685,2.5857293982506873
2,20260815,20260814,ref20260815_label20260814_coarse,coarse,potential_radial_validation_selected,radial,514,3,511,1e-06,1.0,0.17523391971289543,0.5122528261835403,43.414402358537934,241.8338471479318,0.1795216131676596,181.26255024472295,273.3028881858822,0.6632295452415431,186.38916935640262,364.93571806157047,0.5107452083518879,371.61940036691726,1.018314683859526,284.4943317702797,1.0409488668732467,22.73758485477829,56.208321243531756,0.9752859261820177,2.4158567435415046
2,20260815,20260814,ref20260815_label20260814_coarse,coarse,potential_hidden_3d_validation_selected_diagnostic,radial,514,3,511,0.0001,2.0,0.17699805896245135,0.4773117516137469,44.56934037669466,241.8338471479318,0.18429736326127757,166.64494199294438,273.3028881858822,0.60974453325061,172.50206605558515,364.93571806157047,0.47269164819454945,347.59340941635946,0.9524784563776652,255.64816847190957,0.9354023668349781,22.043724701779936,51.29077997079483,0.9738494784307987,3.218348133312234
2,20260815,20260814,ref20260815_label20260814_coarse,coarse,potential_3d_oracle_validation_selected_diagnostic,vector,514,3,511,0.0001,2.0,0.23942762585102373,0.2599367939391906,64.68786306315376,241.8338471479318,0.2674888723230857,75.1053814448777,273.3028881858822,0.2748063949979046,99.12284272385406,364.93571806157047,0.27161726796808217,357.3712140880255,0.9792716810135074,276.5297495652997,1.0118069055209649,11.885538645039464,25.674925597681778,0.9444109568014571,3.2185114173503666
3,20260825,20260824,ref20260825_label20260824_fine,fine,potential_radial_validation_selected,radial,514,3,511,0.0001,2.0,0.3141148878002319,0.6396628275664704,100.83755646045302,294.5615362106908,0.34233103804947235,274.1846843776148,358.8266643149321,0.7641145757690142,292.1394426300004,464.2446269351785,0.6292791034731593,410.17837187227724,0.8835392981932123,304.979273963431,0.8499348133609136,32.47993172042611,73.96580615841393,0.9134420966620134,1.1177328216700122
3,20260825,20260824,ref20260825_label20260824_fine,fine,potential_hidden_3d_validation_selected_diagnostic,radial,514,3,511,0.0001,2.0,0.3141148878002319,0.6396628275664704,100.83755646045302,294.5615362106908,0.34233103804947235,274.1846843776148,358.8266643149321,0.7641145757690142,292.1394426300004,464.2446269351785,0.6292791034731593,410.17837187227724,0.8835392981932123,304.979273963431,0.8499348133609136,32.47993172042611,73.96580615841393,0.9134420966620134,1.1177328216700122
3,20260825,20260824,ref20260825_label20260824_fine,fine,potential_3d_oracle_validation_selected_diagnostic,vector,514,3,511,0.0001,2.0,0.3795363645545541,0.41659213352882485,125.31798377412677,294.5615362106908,0.4254390623645128,150.2807323208218,358.8266643149321,0.4188114966532271,195.67548534268366,464.2446269351785,0.421492191809482,420.4853997554503,0.9057410153163966,329.7103980108962,0.9188570159365822,18.368337473861338,46.45688953485889,0.8635107375660503,9.94652215001651
3,20260825,20260824,ref20260825_label20260824_fiducial,fiducial,potential_radial_validation_selected,radial,514,3,511,0.0001,2.0,0.2169881915989844,0.5105917086219544,60.93865922212921,270.1612500727663,0.22556402595011593,211.72301200419594,324.2475651491802,0.6529671607766311,220.31830155463638,422.04689851490633,0.522023268811807,374.4716826076507,0.8872750491126394,269.0370079528536,0.8297271494670276,26.659439525651273,61.160878698312594,0.96059883777506,2.0555922033178446
3,20260825,20260824,ref20260825_label20260824_fiducial,fiducial,potential_hidden_3d_validation_selected_diagnostic,radial,514,3,511,0.0001,2.0,0.2169881915989844,0.5105917086219544,60.93865922212921,270.1612500727663,0.22556402595011593,211.72301200419594,324.2475651491802,0.6529671607766311,220.31830155463638,422.04689851490633,0.522023268811807,374.4716826076507,0.8872750491126394,269.0370079528536,0.8297271494670276,26.659439525651273,61.160878698312594,0.96059883777506,2.0555922033178446
3,20260825,20260824,ref20260825_label20260824_fiducial,fiducial,potential_3d_oracle_validation_selected_diagnostic,vector,514,3,511,0.0001,2.0,0.2876687981304035,0.30726151693469556,81.82153829170281,270.1612500727663,0.3028618584999317,104.1506576295237,324.2475651491802,0.32120721579391337,132.4466821520375,422.04689851490633,0.31381982101536426,397.67659538182016,0.9422568837282299,310.0573402820171,0.9562364489595027,13.81256417264898,33.65871778544611,0.9286868900780981,8.980578058953666
3,20260825,20260824,ref20260825_label20260824_coarse,coarse,potential_radial_validation_selected,radial,514,3,511,1e-06,1.0,0.1690467364158419,0.45923911278349977,41.678055780596395,249.77774639769805,0.16686056456861562,178.23145300879403,294.71807963062423,0.6047523559877117,183.03964372582368,386.3258586435494,0.47379599276244294,370.31784098085944,0.958563432127229,274.88059707541197,0.932689970767742,22.153159213021418,57.89664243471072,0.9769976780554821,0.9451458269066917
3,20260825,20260824,ref20260825_label20260824_coarse,coarse,potential_hidden_3d_validation_selected_diagnostic,radial,514,3,511,0.0001,2.0,0.17023821498982938,0.42921673291584517,42.34381903374357,249.77774639769805,0.16952598718031275,167.42307310417542,294.71807963062423,0.5680787324415588,172.6947724107724,386.3258586435494,0.4470184134635222,347.66483962859684,0.8999264011197763,247.34634205438348,0.8392642296135594,21.00682984818923,54.33644997348886,0.9761745861858511,2.3385223428113666
3,20260825,20260824,ref20260825_label20260824_coarse,coarse,potential_3d_oracle_validation_selected_diagnostic,vector,514,3,511,0.0001,2.0,0.23786236830325314,0.24545643736819234,59.21634131506618,249.77774639769805,0.23707612935534084,76.54356832543492,294.71807963062423,0.2597179257593169,96.77547690780418,386.3258586435494,0.25050219844873456,371.2482473572855,0.9609717782309376,288.8030685880106,0.979929934905836,10.684961420156219,25.582890245685242,0.9540450810296315,8.013273881985095
4,20260905,20260904,ref20260905_label20260904_fine,fine,potential_radial_validation_selected,radial,514,3,511,0.0001,2.0,0.3207882334441475,0.6386075566461474,92.3427876135047,282.1028552712051,0.32733730229255975,269.0195032735657,330.0557469677498,0.8150729255438535,284.4269388890386,434.1875367379928,0.655078542847889,380.1606599199252,0.8755678773647764,279.90913750656483,0.848066243591011,33.37843831978867,84.82968389902236,0.9239224268211438,6.64488600935076
4,20260905,20260904,ref20260905_label20260904_fine,fine,potential_hidden_3d_validation_selected_diagnostic,radial,514,3,511,0.0001,2.0,0.3207882334441475,0.6386075566461474,92.3427876135047,282.1028552712051,0.32733730229255975,269.0195032735657,330.0557469677498,0.8150729255438535,284.4269388890386,434.1875367379928,0.655078542847889,380.1606599199252,0.8755678773647764,279.90913750656483,0.848066243591011,33.37843831978867,84.82968389902236,0.9239224268211438,6.64488600935076
4,20260905,20260904,ref20260905_label20260904_fine,fine,potential_3d_oracle_validation_selected_diagnostic,vector,514,3,511,0.0001,2.0,0.4029112049277383,0.42175410368669464,114.24661088228375,282.1028552712051,0.40498211467037626,150.94542006609922,330.0557469677498,0.4573331064610982,189.30612229143333,434.1875367379928,0.4360008205524994,391.1728132360127,0.9009305429972833,300.0825305405651,0.9091874124218371,19.32529001215125,47.95633155742372,0.8800102443307695,5.460120902491761
4,20260905,20260904,ref20260905_label20260904_fiducial,fiducial,potential_radial_validation_selected,radial,514,3,511,0.0001,2.0,0.2292600922236038,0.5293936039711225,62.075462331044285,262.87561833888816,0.2361400525590746,203.4961553758327,293.31231281332396,0.6937866106744248,212.7534918076738,393.8726996949065,0.5401580052958037,354.7315612048133,0.9006249010900936,251.2783815286877,0.8566922374261582,28.425504054815214,66.06272612163035,0.9578562792298165,4.681808840124955
4,20260905,20260904,ref20260905_label20260904_fiducial,fiducial,potential_hidden_3d_validation_selected_diagnostic,radial,514,3,511,0.0001,2.0,0.2292600922236038,0.5293936039711225,62.075462331044285,262.87561833888816,0.2361400525590746,203.4961553758327,293.31231281332396,0.6937866106744248,212.7534918076738,393.8726996949065,0.5401580052958037,354.7315612048133,0.9006249010900936,251.2783815286877,0.8566922374261582,28.425504054815214,66.06272612163035,0.9578562792298165,4.681808840124955
4,20260905,20260904,ref20260905_label20260904_fiducial,fiducial,potential_3d_oracle_validation_selected_diagnostic,vector,514,3,511,1e-06,2.0,0.3074524846386714,0.31994431310110855,80.08696593503272,262.87561833888816,0.304657261259536,103.28121164547518,293.31231281332396,0.35212027294335785,130.69403502699168,393.8726996949065,0.3318179582596793,374.3224050929504,0.9503639256615152,283.2184521346715,0.9655866452320514,15.124512828835439,37.020911315356166,0.9285899956363363,4.075851661945104
4,20260905,20260904,ref20260905_label20260904_coarse,coarse,potential_radial_validation_selected,radial,514,3,511,1e-06,1.0,0.17133815325512256,0.46696865178797653,42.70613075610593,243.90929422909647,0.17509021495504545,167.31510392626214,265.38092128320477,0.6304714864853062,172.6793491011983,360.44247417924885,0.47907602869057125,352.3459141751964,0.9775371645018006,256.04224069951505,0.9648102789811185,23.45018285690727,52.94582957819483,0.9747135775360879,1.588159753849641
4,20260905,20260904,ref20260905_label20260904_coarse,coarse,potential_hidden_3d_validation_selected_diagnostic,radial,514,3,511,0.0001,2.0,0.1732193596092102,0.4334010794321827,43.56015976698525,243.90929422909647,0.17859163548753718,155.5689673298778,265.38092128320477,0.5862100658089898,161.55244075844186,360.44247417924885,0.44820589228921304,332.0527056098575,0.9212363397681234,231.098455836453,0.8708178972286905,23.57633195693662,51.70677367601855,0.9735450475132273,2.7333103394568963
4,20260905,20260904,ref20260905_label20260904_coarse,coarse,potential_3d_oracle_validation_selected_diagnostic,vector,514,3,511,1e-06,2.0,0.24474636173948358,0.25429285573089366,58.87963114651731,243.90929422909647,0.24139970283876716,73.2638864018635,265.38092128320477,0.27607066117491913,93.99153161139088,360.44247417924885,0.26076708030987683,349.9674801084236,0.9709385135736917,261.97116506955456,0.9871514644038354,11.858157958070013,27.43361970147255,0.9512324028170038,3.35206044043982
5,20260915,20260914,ref20260915_label20260914_fine,fine,potential_radial_validation_selected,radial,514,3,511,0.0001,2.0,0.35683997818815416,0.6702768572121793,88.99822429709602,287.96317030688107,0.309061135152287,266.4779213401585,342.1985221173821,0.7787231800163952,280.94691044716603,447.2388802334947,0.6281808734976019,391.261242985247,0.8748372743912094,283.52790664226586,0.8285480161863737,31.05212629201253,71.79571064958172,0.9253357570997947,5.322492858037383
5,20260915,20260914,ref20260915_label20260914_fine,fine,potential_hidden_3d_validation_selected_diagnostic,radial,514,3,511,0.0001,2.0,0.35683997818815416,0.6702768572121793,88.99822429709602,287.96317030688107,0.309061135152287,266.4779213401585,342.1985221173821,0.7787231800163952,280.94691044716603,447.2388802334947,0.6281808734976019,391.261242985247,0.8748372743912094,283.52790664226586,0.8285480161863737,31.05212629201253,71.79571064958172,0.9253357570997947,5.322492858037383
5,20260915,20260914,ref20260915_label20260914_fine,fine,potential_3d_oracle_validation_selected_diagnostic,vector,514,3,511,0.0001,1.0,0.4252976546177748,0.4295267747305185,111.04792457799388,287.96317030688107,0.38563238645987474,145.26586165581924,342.1985221173821,0.4245075658333488,182.84915125777158,447.2388802334947,0.408840016687077,405.81603007758986,0.9073809277621866,312.49574773515224,0.9132001675564189,18.14762590608938,46.61181753799674,0.88327200140737,15.99680338815341
5,20260915,20260914,ref20260915_label20260914_fiducial,fiducial,potential_radial_validation_selected,radial,514,3,511,0.0001,2.0,0.24097635237796364,0.5665465623923681,57.9795640762318,266.9918404262783,0.21715856178848694,201.66108303799433,308.3150877785446,0.6540746497065454,209.83046075945862,407.8514879292497,0.5144776149397254,358.8809064920165,0.8799303597349432,249.30119361542387,0.8085922599885575,25.064615694605234,63.54417195870719,0.9613384559518097,4.0197978187011785
5,20260915,20260914,ref20260915_label20260914_fiducial,fiducial,potential_hidden_3d_validation_selected_diagnostic,radial,514,3,511,0.0001,2.0,0.24097635237796364,0.5665465623923681,57.9795640762318,266.9918404262783,0.21715856178848694,201.66108303799433,308.3150877785446,0.6540746497065454,209.83046075945862,407.8514879292497,0.5144776149397254,358.8809064920165,0.8799303597349432,249.30119361542387,0.8085922599885575,25.064615694605234,63.54417195870719,0.9613384559518097,4.0197978187011785
5,20260915,20260914,ref20260915_label20260914_fiducial,fiducial,potential_3d_oracle_validation_selected_diagnostic,vector,514,3,511,0.0001,2.0,0.3054630216958544,0.32446139885038516,77.45753278199243,266.9918404262783,0.2901119849143104,99.93008349732281,308.3150877785446,0.32411674763416126,126.4345323574827,407.8514879292497,0.31000140026316486,387.92397110632305,0.9511402620495442,295.3427460574499,0.9579250505884669,13.945275451536238,33.76131989696867,0.9309832696427622,10.513597069326423
5,20260915,20260914,ref20260915_label20260914_coarse,coarse,potential_radial_validation_selected,radial,514,3,511,0.0001,2.0,0.1847170285414035,0.479028858309352,42.64571358103154,250.05830888339193,0.17054307761842155,159.7766275653588,280.76962255400474,0.5690666465693828,165.36997189028833,375.9797052910438,0.43983749538363076,332.34795953167696,0.8839518592483823,225.55871390469855,0.8033586819432839,21.211777908761803,56.43414819369026,0.9746640475936544,3.6155998192564276
5,20260915,20260914,ref20260915_label20260914_coarse,coarse,potential_hidden_3d_validation_selected_diagnostic,radial,514,3,511,0.0001,2.0,0.1847170285414035,0.479028858309352,42.64571358103154,250.05830888339193,0.17054307761842155,159.7766275653588,280.76962255400474,0.5690666465693828,165.36997189028833,375.9797052910438,0.43983749538363076,332.34795953167696,0.8839518592483823,225.55871390469855,0.8033586819432839,21.211777908761803,56.43414819369026,0.9746640475936544,3.6155998192564276
5,20260915,20260914,ref20260915_label20260914_coarse,coarse,potential_3d_oracle_validation_selected_diagnostic,vector,514,3,511,0.0001,2.0,0.23940935407136202,0.2579496691034723,59.69908890844569,250.05830888339193,0.23874067282557196,73.23144112907056,280.76962255400474,0.260823946917494,94.48187755511121,375.9797052910438,0.25129515297101823,362.38611418043786,0.9638448806696011,273.26303889407876,0.9732642598880792,10.770196366971717,25.936604293242773,0.9503735416340827,8.382500488908946
