noise_fraction,n_basis,n_seed_pairs,validation_observed_nrmse_mean,validation_observed_nrmse_std_between_seeds,validation_observed_nrmse_sem_between_seeds,test_hidden_nrmse_3d_mean,test_hidden_nrmse_3d_std_between_seeds,test_latent_nrmse_radial_mean,test_hidden_nrmse_tangential_mean,effective_degrees_of_freedom_mean,within_basis_selector_agreement_mean
0.1,1795,5,0.17406734573635593,0.007127005575541235,0.0031872937885860427,0.45534669711216924,0.016149963129547727,0.13862537957353158,0.5921451290243158,906.1304258311993,1.0
0.1,2050,5,0.17346157462710518,0.006616111479031506,0.0029588150027662244,0.4540075415841292,0.01593507735101204,0.13685681486104342,0.590647244595457,945.9830511632256,1.0
0.2,3,5,0.9692106269276133,0.0048847429389336,0.0021845234528135265,1.0814064123672982,0.01331491421004156,0.9604864138303153,1.164760229693802,2.9999999968220017,1.0
0.2,6,5,0.9395051032686859,0.0084494479964505,0.003778708018482544,0.9607835160460741,0.010315436647860962,0.9336960080372252,0.9809036137864254,5.81164397976566,0.4
0.2,11,5,0.9281758909535018,0.009834193046321188,0.004397984831085983,0.9638732483259359,0.013046647447822489,0.9201371763490809,0.9958951979930752,10.792848198166997,0.45
0.2,19,5,0.6904083143517238,0.009708208818686524,0.0043416429716692,0.8476843442823416,0.020933777791745784,0.6782051865556329,0.9564892184293914,17.985423880742417,0.23333333333333334
0.2,35,5,0.6043696367276646,0.014313918945839887,0.006401379157464023,0.7283674808377473,0.029500439146600325,0.5830602261658877,0.8221543565698077,34.06144434920391,0.25
0.2,67,5,0.5499713529879937,0.00983982124053071,0.004400501836054596,0.6934171071328852,0.024831478478649728,0.520539863385219,0.8005454575037133,64.28639705947252,0.38333333333333336
0.2,131,5,0.4750985733775578,0.00775406716579842,0.0034677242569648796,0.6988314448561378,0.028968397638118797,0.45423701327792687,0.8386220235489923,125.29899382963431,0.7166666666666667
0.2,259,5,0.36593044683619147,0.01084922587163441,0.004851921310444789,0.5995065552085248,0.017839359909895262,0.3216870101620458,0.7447304295377586,236.80427935956126,0.9166666666666667
0.2,387,5,0.3324852464719913,0.01224812924941261,0.005477529919778014,0.5791232119600463,0.018973541030417474,0.2771762296067297,0.7297164336293538,337.6498079838715,0.9
0.2,514,5,0.30901359061111605,0.009961585500233275,0.00445495646843957,0.5513353912478506,0.02382585404951468,0.24247799106973938,0.7005867274408774,424.0518489452538,0.9333333333333332
0.2,643,5,0.29124847839614615,0.010650946139528893,0.0047632479185351125,0.5172267458515931,0.018831363271474864,0.21646693032622827,0.6601126702455384,499.61193630647796,0.9833333333333332
0.2,771,5,0.2797903566760208,0.0084107151983231,0.003761386184568215,0.5022849840692704,0.02198102592190529,0.19544550435340116,0.6446077388298568,576.7089249578873,0.9666666666666668
0.2,899,5,0.2727807878316014,0.00611271510901783,0.002733689302170781,0.49125089055337146,0.016807988502063505,0.18430888528191383,0.6319452749109311,632.2118907249253,1.0
0.2,1027,5,0.2658246695670487,0.006466518912292276,0.0028919151731347055,0.480044499166776,0.016933209463722107,0.17353461490350824,0.6189437322023517,687.1878726354024,1.0
0.2,1283,5,0.25968806892223717,0.007327757282656693,0.003277072681327901,0.4722899838625637,0.016999084088536634,0.16387408006423504,0.6103537183993243,779.1120814896718,1.0
0.2,1539,5,0.25561283961463643,0.007121459904478477,0.0031848136890906065,0.4710957838714992,0.016415536298320918,0.15926036822768702,0.6096383269280057,851.4162873105863,1.0
0.2,1795,5,0.25451917659599677,0.006901716009162852,0.0030865412315773397,0.4680520968977445,0.01723484100267503,0.1568561308684745,0.6059819203565869,906.1304258311993,1.0
0.2,2050,5,0.2544519735776653,0.006473602424653192,0.0028950830161663995,0.4665963582727155,0.01705181190063803,0.15577131656872556,0.6042178183797432,945.9830511632256,1.0
0.4,3,5,0.972588659977375,0.004703077817602877,0.002103280340726278,1.0814325393174762,0.01345707513204564,0.9605535083287033,1.164756730902043,2.9999999968220017,1.0
0.4,6,5,0.9457939269560647,0.007907424863864755,0.0035363079045147225,0.9607828474280753,0.011247851453453387,0.9337886645456372,0.9807699479793011,5.810966394434326,0.35
0.4,11,5,0.9357803300346786,0.009102101925377283,0.004070583728655064,0.9645038932207489,0.012887701395559132,0.9203158707594239,0.9968302315263353,10.774543458348182,0.45
0.4,19,5,0.7289264116142049,0.008944667556851908,0.0040001769386515664,0.848664417571543,0.02030963361543332,0.6784312472626411,0.9579002289762132,18.01353888412149,0.3
0.4,35,5,0.6573933202890593,0.01150051399515722,0.005143186213871846,0.7293101331527057,0.02796376681660789,0.5843694436802375,0.8228861928572032,33.81349311883478,0.3
0.4,67,5,0.6137176590176981,0.008908932809738252,0.003984195873910586,0.6960462138428989,0.023504969586966046,0.5227677440351628,0.8034138603542106,63.29409186261014,0.55
0.4,131,5,0.5572400810214632,0.00664183772312503,0.0029703201288859985,0.706453971345223,0.027423718453583282,0.4584096559528552,0.8481057625151756,123.58411801451128,0.6
0.4,259,5,0.48054103974072193,0.010702913685397357,0.004786488511572257,0.616580942145493,0.01800416478340866,0.33195701345575734,0.7655952325003136,233.35031138553148,0.9166666666666667
0.4,387,5,0.4616267420462264,0.010885598662870786,0.004868187717191978,0.6030537166997221,0.019689376772961755,0.29313192131884414,0.7585285862712893,330.0148260225736,0.8666666666666668
0.4,514,5,0.4487702146653108,0.009230669180240575,0.004128080752966037,0.5836723740805385,0.025958951568339463,0.2648909348485671,0.7395685698845653,418.48309992642555,0.9
0.4,643,5,0.4405333505262539,0.010002688119260195,0.004473338118479064,0.5597336029140929,0.02307901654271417,0.24556808727763837,0.7115277677391935,499.58439087492826,0.9166666666666666
0.4,771,5,0.43595389713991295,0.00864668322378019,0.0038669142936559055,0.5428214171366064,0.021119729729174908,0.2300873535911681,0.6920425757392794,570.1618216810285,1.0
0.4,899,5,0.4338182171447021,0.006968856498757905,0.0031165673713327707,0.5383345355563606,0.019850998430628066,0.22362949641589994,0.6874429990113191,632.2118907249253,1.0
0.4,1027,5,0.4311784468034799,0.007372541989876856,0.003297101011267243,0.5289126829997095,0.019691145043873454,0.21755265757421935,0.6759247274225186,687.1878726354024,1.0
