noise_fraction,n_basis,seed_pair_index,validation_observed_nrmse_seed_mean,test_hidden_nrmse_3d_seed_mean,test_latent_nrmse_radial_seed_mean,test_hidden_nrmse_tangential_seed_mean,effective_degrees_of_freedom_seed_mean,selector_agreement_seed_mean
0.05,3,1,0.9606461564928678,1.1013656655684123,0.9728538162727499,1.188484470163485,2.999999996771194,1.0
0.05,3,2,0.9674048000796843,1.0879507493441336,0.9597771792146608,1.1686928397633287,2.9999999968260425,1.0
0.05,3,3,0.9708534563150814,1.0749087062421516,0.9494768052145348,1.1659274334153666,2.9999999968366207,1.0
0.05,3,4,0.9673149037062029,1.0741117404603282,0.9456290371065657,1.1611707945022565,2.999999996818181,1.0
0.05,6,0,0.9363911393948127,0.9618739644851466,0.9484488779577785,0.9726686333509308,5.999999604985445,1.0
0.05,6,1,0.9317605715054506,0.9734768133868786,0.9354547951381179,1.0009645451158258,5.6543288712378805,0.0
0.05,6,2,0.9282674418681354,0.9442807775858625,0.9413449885751226,0.9463133691233824,5.99999960266019,1.0
0.05,6,3,0.9501257623679872,0.9613461195482135,0.9251773791878083,0.9894407897076448,5.3133868038902765,0.0
0.05,6,4,0.9400863963884108,0.9651704127470322,0.9181508473943446,0.9989795244960097,5.980479117565106,0.0
0.05,11,0,0.930471594907513,0.9658698873162436,0.9330312313172441,0.9918063236452506,10.999999489035,1.0
0.05,11,1,0.9114234376920906,0.970345842140112,0.9201620244255523,1.0062661090096825,10.984700454035886,0.0
0.05,11,2,0.9193051856724934,0.9486575273318706,0.9275893529227899,0.963012171303602,10.999999484915756,1.0
0.05,11,3,0.9357872476207598,0.9489893224002994,0.9048793293631099,0.9829819016111742,10.843913434338939,0.0
0.05,11,4,0.9308545897514482,0.980736142388093,0.9142576091994102,1.027767865050435,10.543150143556597,0.6666666666666666
0.05,19,0,0.6712051597072266,0.8342986706336998,0.6699973472383726,0.9472622524655833,18.84862354120177,1.0
0.05,19,1,0.6746194590853486,0.8532479165829354,0.7000275005132562,0.9519143843387431,16.89893429260097,0.0
0.05,19,2,0.6878631027073446,0.827862096024738,0.6847682007143875,0.9141205975736755,18.99999938265345,0.0
0.05,19,3,0.6630270091510261,0.8385366360466139,0.685181861439614,0.9438398134020778,18.954410058154266,0.16666666666666666
0.05,19,4,0.683100607268346,0.8818328469891625,0.6498928355604846,1.0217860209619678,16.90913814708046,0.0
0.05,35,0,0.5970513820633034,0.7578399637556971,0.5733814202416093,0.8799247272743097,34.5196658703552,0.0
0.05,35,1,0.5998918165042891,0.7341940747492277,0.6234088586084692,0.807216433170168,30.965014625731,1.0
0.05,35,2,0.5851114658164956,0.7111760866841422,0.5941638287325589,0.7821800054395293,34.99999920457989,0.0
0.05,35,3,0.561684887469372,0.7490714703182588,0.5971103108712802,0.851717359962432,34.972413170220264,0.0
0.05,35,4,0.5760759948830877,0.6858335545254435,0.5256361023963176,0.7847958193471771,34.95201175434487,0.0
0.05,67,0,0.5330014145123859,0.6875191651561913,0.5078220410859279,0.8047268327727582,58.55019190822796,0.9166666666666666
0.05,67,1,0.5384449201503112,0.6969260800748446,0.5507783994633026,0.7887785214691457,65.27956455955767,0.0
0.05,67,2,0.5185448572342394,0.6959538249241378,0.5337855390349623,0.7891732853158726,66.99263767824773,0.0
0.05,67,3,0.5138789354972904,0.7253011673527455,0.5292465448935901,0.8506606896876255,65.33305368017199,0.0
0.05,67,4,0.5211197377651039,0.656552605649659,0.47865157491626503,0.7632215750876766,65.29067847767284,1.0
0.05,131,0,0.4363734382953066,0.7219410793700356,0.43371378435936836,0.8901810820315417,124.84259030368368,1.0
0.05,131,1,0.4441176550383937,0.7314235901862585,0.47570759480286656,0.875209577518176,130.75765475720408,0.0
0.05,131,2,0.44025362043967786,0.6713577027412669,0.4650961924387969,0.7832297239825191,124.80379203919252,1.0
0.05,131,3,0.4539561118642342,0.6876623570533719,0.4708790576559026,0.821347481221205,124.87689617200287,1.0
0.05,131,4,0.4313253071898366,0.6710271951163599,0.41919545937647124,0.8100404236100819,124.75789373140968,1.0
0.05,259,0,0.3209078500177204,0.6041535468220156,0.32779539339158564,0.7581002607828292,235.01161687840997,1.0
0.05,259,1,0.30357939646859616,0.6276488394349888,0.3329712908335727,0.7783030297358916,254.43445342040192,0.16666666666666666
0.05,259,2,0.30282939117587787,0.5701021556086805,0.3178443112471915,0.6931908574092144,234.82437035384547,1.0
0.05,259,3,0.3205876667793169,0.5997796922983193,0.31077711254882007,0.755716701441457,235.01057549482292,1.0
0.05,259,4,0.32379416521740245,0.5813451363351175,0.3048345932727255,0.7222998133997264,234.73468007501535,1.0
0.05,387,0,0.28410470707271357,0.6133137773505238,0.27733670014711803,0.7872561530969043,381.4421481250195,0.08333333333333333
0.05,387,1,0.2607825593021825,0.5863256140375895,0.28060811813220954,0.7362914377333251,332.02645277906163,1.0
0.05,387,2,0.25448877606061354,0.5580410926263599,0.2689901717345859,0.6909149171465923,332.0736215593509,1.0
0.05,387,3,0.27273988003536836,0.5726798940530303,0.2765881150480959,0.7279313908117412,341.4946908552276,0.8333333333333334
0.05,387,4,0.28041524293357073,0.5485324333201068,0.2559145548240842,0.6909499021942648,332.3171898943304,1.0
0.05,514,0,0.24678285770234587,0.5949689571166233,0.24159573229315504,0.7711387806353535,504.55037733570504,0.08333333333333333
