noise_fraction,seed_pair_index,reference_seed,label_seed,n_noise_runs,practical_n_basis,practical_same_hidden_fraction,raw_same_hidden_fraction,test_observed_nrmse_radial_seed_mean,test_observed_nrmse_radial_within_seed_std,test_latent_nrmse_radial_seed_mean,test_latent_nrmse_radial_within_seed_std,test_hidden_nrmse_tangential_seed_mean,test_hidden_nrmse_tangential_within_seed_std,test_hidden_nrmse_3d_seed_mean,test_hidden_nrmse_3d_within_seed_std,test_hidden_direction_error_median_deg_seed_mean,test_hidden_direction_error_median_deg_within_seed_std,test_hidden_predicted_to_reference_rms_3d_seed_mean,test_hidden_predicted_to_reference_rms_3d_within_seed_std,test_raw_argmin_hidden_nrmse_3d_seed_mean,test_raw_argmin_hidden_nrmse_3d_within_seed_std,test_hidden_selector_nrmse_3d_seed_mean,test_hidden_selector_nrmse_3d_within_seed_std,delta_test_nrmse_3d_practical_minus_hidden_seed_mean,delta_test_nrmse_3d_practical_minus_hidden_within_seed_std,delta_test_nrmse_3d_raw_minus_hidden_seed_mean,delta_test_nrmse_3d_raw_minus_hidden_within_seed_std,delta_test_nrmse_3d_practical_minus_raw_seed_mean,delta_test_nrmse_3d_practical_minus_raw_within_seed_std,standardized_residual_mean_seed_mean,standardized_residual_mean_within_seed_std,standardized_residual_rms_seed_mean,standardized_residual_rms_within_seed_std,coverage_observed_radial_68_seed_mean,coverage_observed_radial_68_within_seed_std,coverage_observed_radial_95_seed_mean,coverage_observed_radial_95_within_seed_std,coverage_latent_radial_95_seed_mean,coverage_latent_radial_95_within_seed_std,coverage_latent_component_95_seed_mean,coverage_latent_component_95_within_seed_std,effective_degrees_of_freedom_seed_mean,effective_degrees_of_freedom_within_seed_std,effective_degrees_of_freedom_fraction_seed_mean,effective_degrees_of_freedom_fraction_within_seed_std
0.1,0,20260805,20260804,12,1539,0.0,0.0,0.16679066172104676,0.004312631318999113,0.13583400336717125,0.002309471809392784,0.6188822208943191,0.02758286273902233,0.4684122098120735,0.020115016957202417,20.368217316383888,0.8759283849133812,0.886325218265117,0.04530216197227625,0.46662680736230716,0.020668992217137007,0.4619981017611314,0.0032822419381997535,0.006414108050941929,0.021118964426461988,0.00462870560117582,0.02170379432695614,0.0017854024497661232,0.00095958542188271,-0.16268827274356853,0.059400592933461324,1.5487047838617662,0.09319922914103573,0.5064444444444446,0.02017165394546573,0.8148888888888889,0.021550660695927065,0.507888888888889,0.07568453044148553,0.28862962962962957,0.08977186865908474,906.505179119597,186.84980303131758,0.5890222086547087,0.12140987851287688
0.1,1,20260815,20260814,12,1539,0.0,0.75,0.19000140989756845,0.004034465398767373,0.16036339166212277,0.0019440380348277882,0.6184380367987227,0.006365452045832196,0.4793378397810473,0.004685981329378824,21.902806090562986,0.34222642365119726,0.9016375185914335,0.004095849271316427,0.47538713962590423,0.004964679948406634,0.4748646074227852,0.0046951467184583,0.004473232358262142,0.0011939810786612435,0.0005225322031190833,0.0009666525638407756,0.003950700155143041,0.0017417414420314642,-0.0032611124612779824,0.04057083982658155,1.6515191515456413,0.033380314128430094,0.49288888888888893,0.017134838592840422,0.7851111111111111,0.01379601269678911,0.4717777777777777,0.009877362480049506,0.261074074074074,0.007692072286248037,849.5649572072753,0.0,0.5520240137799061,1.1595901302887535e-16
0.1,2,20260825,20260824,12,1539,0.0,0.3333333333333333,0.16763642425623962,0.0036205164974366854,0.1374554163021223,0.002120254336028061,0.5828078916850511,0.004181464376085384,0.4563210936150921,0.0032323502195405088,21.637518640529535,0.39807955835937575,0.8618321439562032,0.002846496056938664,0.4508064691680261,0.0034315813078792065,0.4500843838872525,0.0035032239681466984,0.006236709727839576,0.000957391711821352,0.0007220852807735917,0.0005773578852902041,0.005514624447065967,0.0011390617772247251,-0.054090764826579894,0.037728581435211926,1.5652907094900772,0.03269443772055191,0.5114444444444445,0.01820607809115623,0.8158888888888889,0.014993152196740104,0.5042222222222222,0.01063378771075676,0.23188888888888884,0.006314254445549566,851.1370468439217,0.0,0.5530455145184677,1.1595901302887535e-16
0.1,3,20260905,20260904,12,1539,0.0,0.9166666666666666,0.17814455005315724,0.003836703616886296,0.14778868790769922,0.002026966400652069,0.6004994055956125,0.005538178164495759,0.45793526006471463,0.004157764503374034,23.101898460776738,0.486601573057437,0.8893453481770311,0.003955620688960814,0.45380310545385516,0.0037680062652543644,0.4537224417128096,0.0037835627108064296,0.00421281835190495,0.0006477925818094055,8.066374104548334e-05,0.0002794273956387124,0.004132154610859466,0.0006803971713388085,-0.06525993502005972,0.04582221981740171,1.6347501044120216,0.03509863126096797,0.48544444444444435,0.015501927761080687,0.7901111111111111,0.015121950954602415,0.488,0.011939240115914195,0.23503703703703704,0.005349582429833901,851.4958051180971,1.1874202934156835e-13,0.5532786258077306,1.1595901302887535e-16
0.1,4,20260915,20260914,12,1539,0.0,1.0,0.16178922840176854,0.003396104109124657,0.12996285649953268,0.0011897006630302133,0.5660623401512264,0.0038144119113869696,0.43629069558503586,0.002881497693537158,19.90743150175575,0.4860136195231885,0.8709340153940882,0.0027937414611032166,0.4310779036495303,0.0026282087835631223,0.4310779036495303,0.0026282087835631223,0.0052127919355055,0.0006747373434643785,0.0,0.0,0.0052127919355055,0.0006747373434643785,-0.03258387668072684,0.044918367517708495,1.5059259213669705,0.031226403870662122,0.5099999999999999,0.020232986368149866,0.8128888888888889,0.015542274272521698,0.503,0.011055415967851364,0.2627777777777777,0.005682588051097277,852.3173403031209,1.1874202934156835e-13,0.5538124368441331,0.0
0.2,0,20260805,20260804,12,1539,0.16666666666666666,0.08333333333333333,0.2440701586232528,0.007176308493180675,0.15312556967641103,0.004745916702420477,0.6254925558128255,0.008251299520112174,0.4755803918525372,0.006412600043973321,21.18444588778273,0.6181748786029004,0.8820458011247926,0.010729658809641069,0.4740702204929943,0.007246417850026861,0.47453681251297725,0.0067671216912285285,0.0010435793395599,0.0013326924229004077,-0.00046659201998302586,0.0017671910742078293,0.0015101713595429556,0.0014949619404344427,-0.0901677347978143,0.042136296646423606,1.1680340004460008,0.036917277431148796,0.6208888888888889,0.011943751448066852,0.9096666666666667,0.0100925014668607,0.7175555555555554,0.012912552293563305,0.46722222222222226,0.009098784467602176,852.5662870805171,1.1874202934156835e-13,0.5539741956338641,1.1595901302887535e-16
0.2,1,20260815,20260814,12,1539,0.0,0.5833333333333334,0.2694442728098246,0.006149597671147084,0.17726193010793748,0.003671951090552967,0.6336035760493481,0.012778980517638724,0.4930261225609432,0.00938501490602725,22.744134423210202,0.49665197197214855,0.9091015912850705,0.008151330283613945,0.49003137691935833,0.009560495952280118,0.48857242254319616,0.009342388877145731,0.004453700017747092,0.0024135705278911686,0.0014589543761622584,0.0020963948357275598,0.002994745641584829,0.003302563034391716,0.004045997073063599,0.040570839826582446,1.1952756412004188,0.02653508060598674,0.6063333333333333,0.014957177932924783,0.9010000000000001,0.01227463509301462,0.7076666666666668,0.010546673562423512,0.4705925925925927,0.01269705139408372,849.5649572072753,0.0,0.5520240137799061,1.1595901302887535e-16
0.2,2,20260825,20260824,12,1539,0.0,0.25,0.24521590066253673,0.005740367751753829,0.15424214493684743,0.003998971038455843,0.596049235113513,0.007928278484393215,0.4684578492852524,0.006141026581817299,22.178906326781714,0.6345278070454325,0.8692234293165747,0.005654953970863127,0.4632749426038254,0.006543347066314428,0.4624538402234663,0.006651274113571222,0.006004009061786057,0.0018124764924284107,0.0008211023803590417,0.0006331408518286198,0.005182906681426992,0.0017675803038122223,-0.02279466205814989,0.03772858143521294,1.1681844509253596,0.02547895016084638,0.6163333333333333,0.02215190896304586,0.9094444444444445,0.00750936564501774,0.7435555555555556,0.015479757608660926,0.43711111111111106,0.01079801286952443,851.1370468439217,0.0,0.5530455145184677,1.1595901302887535e-16
0.2,3,20260905,20260904,12,1539,0.0,0.75,0.25536973787079714,0.008186155021217343,0.16347859042020874,0.0037940331757293916,0.6155310254047078,0.010668192954318373,0.4711905164016626,0.008001197407053384,23.743950399455926,0.706009355132339,0.896717403043419,0.008015285655197484,0.4671861003146154,0.007435569476949155,0.46705017076136746,0.007304596877385179,0.004140345640295033,0.0012913710074237594,0.00013592955324781664,0.0005033897533642734,0.0040044160870471995,0.0009814805584729338,-0.029531290241734124,0.045822219817401165,1.1921230476671294,0.03901098621115163,0.6058888888888889,0.018108167325980945,0.8972222222222221,0.010688739787699872,0.7208888888888888,0.011984277017112686,0.43903703703703695,0.009285753341226772,851.4958051180971,1.1874202934156835e-13,0.5532786258077306,1.1595901302887535e-16
0.2,4,20260915,20260914,12,1539,0.0,0.5833333333333334,0.2408350740638181,0.0068676120621172275,0.14819360599703046,0.0022646235567627504,0.5775152422596336,0.0076603595937338054,0.4472240392571006,0.005731506039662145,20.840938806729657,0.7052055091040391,0.8806281450729276,0.005384162356624971,0.4420169645505882,0.004993626622867042,0.4420208011735373,0.005036076388743858,0.005203238083563334,0.0014808431504174525,-3.836622949141643e-06,0.0009673184121427374,0.00520707470651245,0.001528762609279658,-0.02778116631002304,0.04491836751770823,1.1420704621157802,0.032282435249684834,0.626,0.02443048269782004,0.9134444444444444,0.01033512529265197,0.7455555555555556,0.008656559763325557,0.4727037037037038,0.005424997909630128,852.3173403031209,1.1874202934156835e-13,0.5538124368441331,0.0
