run_key,seed_pair_index,seed_run_index,reference_seed,label_seed,scale,noise_fraction,noise_sigma,noise_realization,noise_seed,train_radial_rms,n_basis,n_affine_modes,n_diffusion_modes,regularization_strength,penalty_power,validation_selection_score,validation_observed_nrmse,validation_reduced_chi2,validation_latent_nrmse_radial,validation_hidden_nrmse_tangential,validation_hidden_nrmse_3d
seedpair01_ref20260815_label20260814_noise04000_rep006_seed2026083706,1,43,20260815,20260814,fiducial,0.4,109.3084999573889,6,2026083706,273.27124989347226,2050,3,2047,0.0001,2.0,1.198043895747397,0.4090539669489294,1.198043895747397,0.2327444169871848,0.7394872807380913,0.5757467256026482
seedpair01_ref20260815_label20260814_noise04000_rep007_seed2026083707,1,44,20260815,20260814,fiducial,0.4,109.3084999573889,7,2026083707,273.27124989347226,2050,3,2047,0.0001,2.0,1.3802152925316526,0.4420794003483117,1.3802152925316526,0.2312427125676658,0.7429670789870138,0.5779994884974418
seedpair01_ref20260815_label20260814_noise04000_rep008_seed2026083708,1,45,20260815,20260814,fiducial,0.4,109.3084999573889,8,2026083708,273.27124989347226,771,3,768,0.0001,2.0,1.469364474220607,0.444736454097397,1.469364474220607,0.242377664256267,0.7441874619678549,0.5808702436238151
seedpair01_ref20260815_label20260814_noise04000_rep009_seed2026083709,1,46,20260815,20260814,fiducial,0.4,109.3084999573889,9,2026083709,273.27124989347226,2050,3,2047,0.0001,2.0,1.2322387802273638,0.4212310541297568,1.2322387802273638,0.2366053117428196,0.6963026661147156,0.5453215992361006
seedpair01_ref20260815_label20260814_noise04000_rep010_seed2026083710,1,47,20260815,20260814,fiducial,0.4,109.3084999573889,10,2026083710,273.27124989347226,771,3,768,0.0001,2.0,1.2684414535500397,0.4287316472217199,1.2684414535500397,0.2386181766910697,0.7512436964081979,0.5852857039081563
seedpair01_ref20260815_label20260814_noise04000_rep011_seed2026083711,1,48,20260815,20260814,fiducial,0.4,109.3084999573889,11,2026083711,273.27124989347226,771,3,768,0.0001,2.0,1.438310919273981,0.4428616235421885,1.438310919273981,0.2503096520989806,0.7198893096496858,0.5648844588349913
seedpair01_ref20260815_label20260814_noise08000_rep000_seed2026083700,1,49,20260815,20260814,fiducial,0.8,218.6169999147778,0,2026083700,273.27124989347226,259,3,256,0.0001,1.0,1.207509005272518,0.6770106713406769,1.207509005272518,0.364646217318721,0.8901774919782718,0.7100399873804233
seedpair01_ref20260815_label20260814_noise08000_rep001_seed2026083701,1,50,20260815,20260814,fiducial,0.8,218.6169999147778,1,2026083701,273.27124989347226,67,3,64,0.0001,1.0,1.5573192886126124,0.7697208515344252,1.5573192886126124,0.5425182794316521,0.8035685352241089,0.7015123770986182
seedpair01_ref20260815_label20260814_noise08000_rep002_seed2026083702,1,51,20260815,20260814,fiducial,0.8,218.6169999147778,2,2026083702,273.27124989347226,259,3,256,0.0001,1.0,1.2886399989862398,0.710582198805562,1.2886399989862398,0.3678939786602691,0.8881400201880136,0.7093358039318955
seedpair01_ref20260815_label20260814_noise08000_rep003_seed2026083703,1,52,20260815,20260814,fiducial,0.8,218.6169999147778,3,2026083703,273.27124989347226,259,3,256,0.0001,2.0,1.0878106298619103,0.6482523574989054,1.0878106298619103,0.3638419624016621,0.8852276001678852,0.7063668057224992
