protocol,label_seed,loss_name,loss_label,octant_subset,n_octants,octant_ids,missing_octant_ids,nrmse_3d_mean,nrmse_3d_std,nrmse_3d_worst,nrmse_3d_best,nrmse_3d_range
retuned_raw,20261223,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.2276370133317514,0.08019684466051531,0.3945040587057435,0.1295787315050239,0.2649253272007196
retuned_raw,20261223,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.24839610029963952,0.11521378430454716,0.5015558461349798,0.09472483011548714,0.4068310160194927
matched_unweighted_practical,20261223,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.2125287820937224,0.07891225210224767,0.35739913083123814,0.10836634659419224,0.2490327842370459
matched_unweighted_practical,20261223,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.227611035933376,0.09236173643259812,0.38556686484840885,0.0864550801823534,0.2991117846660555
matched_raw_operational_structure,20261223,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.2276370133317514,0.08019684466051531,0.3945040587057435,0.1295787315050239,0.2649253272007196
matched_raw_operational_structure,20261223,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.24839610029963952,0.11521378430454716,0.5015558461349798,0.09472483011548714,0.4068310160194927
retuned_practical,20270103,unweighted,Unweighted,observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.20027663341458074,0.0982310482946341,0.36871424658709157,0.08520981887641604,0.2835044277106755
retuned_practical,20270103,unweighted,Unweighted,query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.2116221409436758,0.0916572041115752,0.36805792473042187,0.06831036447457273,0.29974756025584914
retuned_raw,20270103,unweighted,Unweighted,observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.20336630501107894,0.0956218334842937,0.3701728400449413,0.09028651309989126,0.27988632694505
retuned_raw,20270103,unweighted,Unweighted,query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.2109376542957734,0.0877283233863796,0.37107659900088064,0.06866052642264694,0.30241607257823366
matched_unweighted_practical,20270103,unweighted,Unweighted,observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.20027663341458074,0.0982310482946341,0.36871424658709157,0.08520981887641604,0.2835044277106755
matched_unweighted_practical,20270103,unweighted,Unweighted,query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.2116221409436758,0.0916572041115752,0.36805792473042187,0.06831036447457273,0.29974756025584914
matched_raw_operational_structure,20270103,unweighted,Unweighted,observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.20336630501107894,0.0956218334842937,0.3701728400449413,0.09028651309989126,0.27988632694505
matched_raw_operational_structure,20270103,unweighted,Unweighted,query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.2109376542957734,0.0877283233863796,0.37107659900088064,0.06866052642264694,0.30241607257823366
retuned_practical,20270103,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.23307394613748145,0.0975543609131492,0.3979453752099112,0.09655338228096448,0.3013919929289467
retuned_practical,20270103,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.2395568838960053,0.09733362094533624,0.40057843075998595,0.08125958695671902,0.3193188438032669
retuned_raw,20270103,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.24000270496348253,0.09274805151155285,0.4009430784960722,0.11706479198410796,0.28387828651196423
retuned_raw,20270103,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.24502942732884175,0.09304400630908918,0.41384531798387675,0.09484112785203898,0.3190041901318378
matched_unweighted_practical,20270103,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.23307394613748145,0.0975543609131492,0.3979453752099112,0.09655338228096448,0.3013919929289467
matched_unweighted_practical,20270103,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.2395568838960053,0.09733362094533624,0.40057843075998595,0.08125958695671902,0.3193188438032669
matched_raw_operational_structure,20270103,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.24000270496348253,0.09274805151155285,0.4009430784960722,0.11706479198410796,0.28387828651196423
matched_raw_operational_structure,20270103,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.24502942732884175,0.09304400630908918,0.41384531798387675,0.09484112785203898,0.3190041901318378
retuned_practical,20270103,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.22469097400489407,0.0967064678727173,0.3898272973391816,0.0927960011387148,0.29703129620046675
retuned_practical,20270103,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.2342487810065111,0.09410326223067222,0.390427084675714,0.082010709974198,0.308416374701516
retuned_raw,20270103,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.23132231981543008,0.09290827451990234,0.39118785604998585,0.11079839808846435,0.2803894579615215
retuned_raw,20270103,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.2370890805019795,0.09144338189129679,0.39866339897474473,0.08808219573386811,0.3105812032408766
matched_unweighted_practical,20270103,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.22469097400489407,0.0967064678727173,0.3898272973391816,0.0927960011387148,0.29703129620046675
matched_unweighted_practical,20270103,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.2342487810065111,0.09410326223067222,0.390427084675714,0.082010709974198,0.308416374701516
matched_raw_operational_structure,20270103,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.23132231981543008,0.09290827451990234,0.39118785604998585,0.11079839808846435,0.2803894579615215
matched_raw_operational_structure,20270103,octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.2370890805019795,0.09144338189129679,0.39866339897474473,0.08808219573386811,0.3105812032408766
retuned_practical,20270113,unweighted,Unweighted,observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.20026803705246554,0.08537173076795615,0.3439265205209486,0.09007349394637607,0.25385302657457254
retuned_practical,20270113,unweighted,Unweighted,query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.21075067485718352,0.09880529878409178,0.39295426678338957,0.05708099723847987,0.3358732695449097
retuned_raw,20270113,unweighted,Unweighted,observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.1988284412686572,0.08412208098386022,0.33596832124320464,0.08979306633331807,0.24617525490988657
retuned_raw,20270113,unweighted,Unweighted,query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.21647757977195495,0.09565845920764515,0.3920110130255948,0.06959724486047865,0.3224137681651162
matched_unweighted_practical,20270113,unweighted,Unweighted,observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.20026803705246554,0.08537173076795615,0.3439265205209486,0.09007349394637607,0.25385302657457254
matched_unweighted_practical,20270113,unweighted,Unweighted,query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.21075067485718352,0.09880529878409178,0.39295426678338957,0.05708099723847987,0.3358732695449097
matched_raw_operational_structure,20270113,unweighted,Unweighted,observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.1988284412686572,0.08412208098386022,0.33596832124320464,0.08979306633331807,0.24617525490988657
matched_raw_operational_structure,20270113,unweighted,Unweighted,query_region_primary_octant,8,"0,1,2,3,4,5,6,7",,0.21647757977195495,0.09565845920764515,0.3920110130255948,0.06959724486047865,0.3224137681651162
retuned_practical,20270113,global_g0p75_cap20,"Global radial ($\gamma=0.75$, cap 20)",observed_test_octant,8,"0,1,2,3,4,5,6,7",,0.2130316167188766,0.08385571545348718,0.3572660438166926,0.1016500512599941,0.2556159925566985
