loss_name,loss_label,n_basis,n_diffusion_modes,n_seeds,weighted_validation_nrmse_radial_mean,weighted_validation_nrmse_radial_std,weighted_validation_nrmse_radial_sem,unweighted_validation_nrmse_radial_mean,unweighted_validation_nrmse_radial_std,unweighted_validation_nrmse_radial_sem,weighted_validation_nrmse_tangential_mean,weighted_validation_nrmse_tangential_std,weighted_validation_nrmse_tangential_sem,weighted_validation_nrmse_3d_mean,weighted_validation_nrmse_3d_std,weighted_validation_nrmse_3d_sem
octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",1539,1536,10,0.0892620774021369,0.003807170389545339,0.001203932987131377,0.07670796873708823,0.003019049551614476,0.0009547072952011819,0.354502985160255,0.005592280416467649,0.0017684343430392766,0.28646954158953797,0.0031037792454738497,0.0009815011770056223
octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",1795,1792,10,0.08221996627174334,0.0037905619928915156,0.001198680950960417,0.07016917915824376,0.0035009679189113704,0.0011071032638939608,0.34450458285525026,0.007713393423828492,0.0024391891708262525,0.2778679684482558,0.004543942842333905,0.0014369208939394517
octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",2050,2047,10,0.07695550440661798,0.00397918522501092,0.0012583288542724119,0.06691971179995913,0.003456147113596945,0.0010929296807583044,0.34577490301124875,0.010390071182373993,0.0032856289987580538,0.2782960377183049,0.006810747029054329,0.002153747317903666
octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",2307,2304,10,0.07068837718506091,0.0025598762402800276,0.0008095039447433354,0.0629622478051964,0.004361963357677637,0.0013793739280457042,0.3509761687090709,0.01039751357984895,0.0032879824914853685,0.28175083271448575,0.0066935486779259425,0.0021166859451454798
octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",2562,2559,10,0.06851311101247325,0.0028960369015147212,0.0009158072796683255,0.06199240642198417,0.004064234208287914,0.0012852237042560988,0.3553582000777147,0.011684914038604138,0.003695094262526574,0.28498672862070396,0.007689000307620184,0.00243147539018151
octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",2818,2815,10,0.06540416604984603,0.0037904335351332478,0.0011986403290504925,0.06197353514856717,0.0074771276027376515,0.002364475358036562,0.3648023594402205,0.014892455479928167,0.0047094079269229,0.2921366414906781,0.010317606778414165,0.0032627137421780954
octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",3074,3071,10,0.06544503049106278,0.00399824711020798,0.0012643567516443474,0.061697092899283726,0.006168722488443233,0.0019507213316982328,0.36294902102964277,0.013595589303727137,0.004299302833200049,0.29070202787949573,0.009723915791865698,0.003074972167797541
octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",3330,3327,10,0.06423998808980912,0.0038128675874155066,0.001205734599286416,0.06189032205539121,0.006884496874404494,0.0021770690667428363,0.3589082214641012,0.013096081967373396,0.004141344744115884,0.2874290169835031,0.009424022216733496,0.0029801374924906822
octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",3586,3583,10,0.06347481265318601,0.003952650193077721,0.0012499377404029907,0.06243023206773111,0.006953415811831116,0.002198863148361511,0.3571455186326434,0.011952384114527976,0.003779675727112323,0.28596557527791405,0.00804593772417105,0.0025443489120252124
octant_g1p00_cap20,"Octant-aware ($\gamma=1$, cap 20)",3842,3839,10,0.06201124841506282,0.004327169710709504,0.0013683712107933931,0.062463228270215596,0.0076092789262384684,0.002406265275843394,0.35439277234974353,0.012488792206652149,0.003949302859758104,0.28369381301763646,0.008801798520916936,0.002783373083199871
