replicate,label_seed,region_id,m_lim,subset,n
7,20270203,6,12.75592439771875,test,332
7,20270203,7,13.05592439771875,train,2513
7,20270203,7,13.05592439771875,validation,538
7,20270203,7,13.05592439771875,test,539
8,20270213,0,10.95592439771875,train,304
8,20270213,0,10.95592439771875,validation,65
8,20270213,0,10.95592439771875,test,66
8,20270213,1,11.25592439771875,train,354
8,20270213,1,11.25592439771875,validation,76
8,20270213,1,11.25592439771875,test,76
8,20270213,2,11.55592439771875,train,418
8,20270213,2,11.55592439771875,validation,90
8,20270213,2,11.55592439771875,test,89
8,20270213,3,11.85592439771875,train,548
8,20270213,3,11.85592439771875,validation,117
8,20270213,3,11.85592439771875,test,118
8,20270213,4,12.15592439771875,train,464
8,20270213,4,12.15592439771875,validation,99
8,20270213,4,12.15592439771875,test,100
8,20270213,5,12.45592439771875,train,858
8,20270213,5,12.45592439771875,validation,184
8,20270213,5,12.45592439771875,test,183
8,20270213,6,12.75592439771875,train,1550
8,20270213,6,12.75592439771875,validation,332
8,20270213,6,12.75592439771875,test,332
8,20270213,7,13.05592439771875,train,2513
8,20270213,7,13.05592439771875,validation,538
8,20270213,7,13.05592439771875,test,539
9,20270223,0,10.95592439771875,train,304
9,20270223,0,10.95592439771875,validation,65
9,20270223,0,10.95592439771875,test,66
9,20270223,1,11.25592439771875,train,354
9,20270223,1,11.25592439771875,validation,76
9,20270223,1,11.25592439771875,test,76
9,20270223,2,11.55592439771875,train,418
9,20270223,2,11.55592439771875,validation,90
9,20270223,2,11.55592439771875,test,89
9,20270223,3,11.85592439771875,train,548
9,20270223,3,11.85592439771875,validation,117
9,20270223,3,11.85592439771875,test,118
9,20270223,4,12.15592439771875,train,464
9,20270223,4,12.15592439771875,validation,99
9,20270223,4,12.15592439771875,test,100
9,20270223,5,12.45592439771875,train,858
9,20270223,5,12.45592439771875,validation,184
9,20270223,5,12.45592439771875,test,183
9,20270223,6,12.75592439771875,train,1550
9,20270223,6,12.75592439771875,validation,332
9,20270223,6,12.75592439771875,test,332
9,20270223,7,13.05592439771875,train,2513
9,20270223,7,13.05592439771875,validation,538
9,20270223,7,13.05592439771875,test,539
10,20270303,0,10.95592439771875,train,304
10,20270303,0,10.95592439771875,validation,65
10,20270303,0,10.95592439771875,test,66
10,20270303,1,11.25592439771875,train,354
10,20270303,1,11.25592439771875,validation,76
10,20270303,1,11.25592439771875,test,76
10,20270303,2,11.55592439771875,train,418
10,20270303,2,11.55592439771875,validation,90
10,20270303,2,11.55592439771875,test,89
10,20270303,3,11.85592439771875,train,548
10,20270303,3,11.85592439771875,validation,117
10,20270303,3,11.85592439771875,test,118
10,20270303,4,12.15592439771875,train,464
10,20270303,4,12.15592439771875,validation,99
10,20270303,4,12.15592439771875,test,100
10,20270303,5,12.45592439771875,train,858
10,20270303,5,12.45592439771875,validation,184
10,20270303,5,12.45592439771875,test,183
10,20270303,6,12.75592439771875,train,1550
10,20270303,6,12.75592439771875,validation,332
10,20270303,6,12.75592439771875,test,332
10,20270303,7,13.05592439771875,train,2513
10,20270303,7,13.05592439771875,validation,538
10,20270303,7,13.05592439771875,test,539
