protocol,subset,comparison,model_a,model_b,label_seed,delta_nrmse_radial,delta_nrmse_tangential,delta_nrmse_3d,delta_direction_error_median_deg,delta_octant_nrmse_3d_mean,delta_octant_nrmse_3d_std,delta_worst_octant_nrmse_3d
retuned_practical,observed_test_global_parent_weighted,octant_minus_unweighted,octant_g1p00_cap20,unweighted,20270223,0.0011115638350326362,0.01924828987389593,0.015460398702472733,0.9641909463966272,0.021519123637392862,-0.011232892542295952,0.011472432055411319
retuned_practical,observed_test_global_parent_weighted,octant_minus_unweighted,octant_g1p00_cap20,unweighted,20270303,0.0010593299922003127,0.018573984187337134,0.014718294717400271,0.7188235013297621,0.01726134936934018,-0.006674288291199898,0.011593463307352836
retuned_practical,observed_test_global_parent_weighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20261203,-0.0004302927473488066,-0.0021857187403437894,-0.0017929149882651152,-0.16739664087030093,-0.00311266085538095,0.0004342083054044016,-0.0046252540257310515
retuned_practical,observed_test_global_parent_weighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20261213,-0.001080415670974666,-0.003073583610965991,-0.0025358717628783944,-0.09036569985441645,-0.003092120203872839,0.00018425353323651972,-0.0035399799416939715
retuned_practical,observed_test_global_parent_weighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20261223,-0.000691879922483922,-0.0033847042704990282,-0.00277251000255202,-0.23507642473170343,-0.00716981796178609,0.002424035203868885,-0.006407252766529925
retuned_practical,observed_test_global_parent_weighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20270103,-0.0012927643963173696,-0.009187488192706927,-0.0074288360431309375,-0.43486611420236443,-0.008755779388778695,-0.0015006535087427192,-0.009513309170606943
retuned_practical,observed_test_global_parent_weighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20270113,-0.000730473764663904,-0.0020401570522238788,-0.001692850470837115,-0.08958016958101389,-0.002468434680873377,-0.000856441737144234,-0.0038682662651144395
retuned_practical,observed_test_global_parent_weighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20270123,-0.00015201467376636801,-0.005561473375894688,-0.00445465001538925,-0.30570504706300206,-0.005177936082485568,-0.001137689537413153,-0.007217141102383751
retuned_practical,observed_test_global_parent_weighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20270203,-0.00021718655735344927,-0.003724189325060745,-0.002996856960998051,-0.3527648625728226,-0.004112595777975542,-0.000479626575675296,-0.008170267744350146
retuned_practical,observed_test_global_parent_weighted,octant_minus_global,octant_g1p00_cap20,global_g0p75_cap20,20270213,-0.00020405904403754394,-0.0022031917114461175,-0.0017616931692365223,0.12911373160445905,-0.0024240504977230404,0.0010578627271654734,-0.0024709796212154522
