protocol,subset,loss_name,loss_label,n_seeds,nrmse_radial_mean,nrmse_radial_std,nrmse_radial_sem,nrmse_tangential_mean,nrmse_tangential_std,nrmse_tangential_sem,nrmse_3d_mean,nrmse_3d_std,nrmse_3d_sem,direction_error_median_deg_mean,direction_error_median_deg_std,direction_error_median_deg_sem,direction_error_p90_deg_mean,direction_error_p90_deg_std,direction_error_p90_deg_sem,vector_gain_through_origin_mean,vector_gain_through_origin_std,vector_gain_through_origin_sem
matched_unweighted_practical,query_primary_boundary_safe,optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",10,0.12711063979881265,0.008796818150749092,0.0027817981518677565,0.2972571289722729,0.050650249940732174,0.016017015386952212,0.26202322949186013,0.04134452350217324,0.013074286304122896,9.61136853579132,1.0559610519551466,0.3339242044605661,20.90389730612504,2.5059821850700184,0.792461148062686,0.9117289660911763,0.05816021658454688,0.018391875361586707
matched_raw_operational_structure,observed_test_parent_weighted,optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",10,0.05990050275161285,0.010671657970434364,0.0033746745596862416,0.31736445526290874,0.05971302473579617,0.018882916414309007,0.2636692462789537,0.05018110038472598,0.015868657270928583,9.457231131860608,1.8000221150726798,0.5692169722303371,23.595144409461483,2.597497744172844,0.8214009088735544,0.9044499588357789,0.05708874526582818,0.018053046380117177
matched_raw_operational_structure,observed_test_unweighted,optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",10,0.07222687593989649,0.056535047653468104,0.017877951821111692,0.3529776472700502,0.14861726148642426,0.04699690459139219,0.28962493187071486,0.12595008875576583,0.039828915196858286,8.865314516135518,2.6873732590057147,0.8498220421487663,22.754124181420366,9.401492620352112,2.973013008557736,0.8976667183522945,0.08952276546691366,0.028309584131251432
matched_raw_operational_structure,query_primary_boundary_safe,optimized_gamma0p75_cap20,"Radial-CV weighted ($\gamma=0.75$, cap 20)",10,0.13722731179404354,0.014936556104823825,0.004723353769013601,0.32877195214774935,0.04757624523679014,0.015044929746699371,0.28936728915119814,0.03856308648057824,0.01219471868846738,9.75745039286623,1.1862546090383703,0.3751266449433813,23.039994142590526,2.4383567946329436,0.7710761219187534,0.911460544093335,0.06100510158307262,0.019291506989245314
retuned_practical,observed_test_parent_weighted,previous_mock2_gamma1p00_cap50,"Previous Mock-2 ($\gamma=1$, cap 50)",10,0.06597326062172841,0.010687025808288874,0.0033795342967194823,0.33398524508684124,0.06637112885473379,0.020988393805748153,0.2776996532421227,0.05566340921331448,0.017602315544407512,10.063336647677215,1.979726015189625,0.6260443351088316,24.003361754807315,3.119665560533279,0.9865248709271052,0.884981793998304,0.05826302173275884,0.018424385203940803
retuned_practical,observed_test_unweighted,previous_mock2_gamma1p00_cap50,"Previous Mock-2 ($\gamma=1$, cap 50)",10,0.08720359942477529,0.05909209407258386,0.018686560897830023,0.4083458502656784,0.15616983959169173,0.0493852394932886,0.3352064594998592,0.13219302736543662,0.041803105726774745,10.165689015671854,2.8356604833693857,0.8967145798381276,26.122610215869997,10.73455151217732,3.3945632438885034,0.8677769445238204,0.09310162050510395,0.02944131746487645
retuned_practical,query_primary_boundary_safe,previous_mock2_gamma1p00_cap50,"Previous Mock-2 ($\gamma=1$, cap 50)",10,0.12561470567472727,0.007550878215218415,0.0023877973494637276,0.3383392990743723,0.053378938367430316,0.016879902432282965,0.2957298357286892,0.04402282346729343,0.013921239118815827,10.23458444521697,1.4923619572743365,0.47192628783737917,23.630100547531182,2.7713508231381034,0.8763780796498873,0.8871332721782752,0.06146927303091257,0.019438290889244546
retuned_raw,observed_test_parent_weighted,previous_mock2_gamma1p00_cap50,"Previous Mock-2 ($\gamma=1$, cap 50)",10,0.06240033282380962,0.011319840154377016,0.003579647763686341,0.3460498936700993,0.06724721105555166,0.021265435322959908,0.2872941373406734,0.05642652326161673,0.017843633395118196,10.152895704370941,2.112326601668822,0.6679763223436705,25.068773507578108,3.41986562831698,1.0814564677204483,0.8824330325020258,0.06078691440257407,0.019222510144582747
retuned_raw,observed_test_unweighted,previous_mock2_gamma1p00_cap50,"Previous Mock-2 ($\gamma=1$, cap 50)",10,0.08751970338388856,0.061430541101938074,0.019426042777871418,0.4274323226284511,0.15761882958984103,0.0498434503633841,0.35060697184499373,0.1336259035337182,0.042256220956449195,10.303320404655574,2.9518436424346572,0.9334549206781173,27.422268623441784,11.356620060352014,3.5912785911871246,0.8625669748615831,0.09608629452081151,0.030385154261152156
retuned_raw,query_primary_boundary_safe,previous_mock2_gamma1p00_cap50,"Previous Mock-2 ($\gamma=1$, cap 50)",10,0.13586284967215911,0.014809214891051397,0.004683084941460473,0.35483414679612824,0.055682587123925105,0.01760838013223678,0.31073657296980917,0.045621102067461186,0.014426659190019396,10.487211519230694,1.380299523663517,0.43648903480221946,24.87819465884433,2.892822500767127,0.914790796900831,0.8872985574473435,0.0652563124736353,0.020635857912034403
