protocol,subset,comparison,model_a,model_b,label_seed,delta_nrmse_radial,delta_nrmse_tangential,delta_nrmse_3d,delta_direction_error_median_deg
matched_raw_operational_structure,query_primary_boundary_safe,optimized_minus_unweighted,optimized_gamma0p75_cap20,unweighted,20270302,0.010286711710049495,0.05446092481244319,0.04606491565118992,0.6890574378547498
matched_raw_operational_structure,query_primary_boundary_safe,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20261202,0.012654188322943155,0.08066338531610695,0.06822335622817127,2.219541864183803
matched_raw_operational_structure,query_primary_boundary_safe,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20261212,0.01474896317592167,0.05776984923846179,0.049427930700461475,1.3988077699942831
matched_raw_operational_structure,query_primary_boundary_safe,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20261222,0.011708242454525133,0.07716852688496531,0.06474187585335034,2.3890557775834154
matched_raw_operational_structure,query_primary_boundary_safe,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20270102,0.01340907811143699,0.06445588586772821,0.0547062968902321,1.5791636143740266
matched_raw_operational_structure,query_primary_boundary_safe,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20270112,0.013930090710056853,0.06425523211880979,0.05463620895440788,1.7425014337568747
matched_raw_operational_structure,query_primary_boundary_safe,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20270122,0.0003874833569989661,0.18625415212404017,0.15679324175642306,5.031673036662665
matched_raw_operational_structure,query_primary_boundary_safe,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20270202,0.0126537304158032,0.06933884620354919,0.05870087338596769,2.313527127044784
matched_raw_operational_structure,query_primary_boundary_safe,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20270212,0.011296431466061185,0.06527102353384096,0.05519120107455086,1.2298209801028284
matched_raw_operational_structure,query_primary_boundary_safe,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20270222,0.01251528264002777,0.06112494848999722,0.05181836964129363,1.0155249494217582
matched_raw_operational_structure,query_primary_boundary_safe,previous_minus_unweighted,previous_mock2_gamma1p00_cap50,unweighted,20270302,0.012074010189668583,0.0820702928166116,0.06904428986912603,1.0440583220880821
matched_unweighted_practical,observed_test_parent_weighted,optimized_minus_unweighted,optimized_gamma0p75_cap20,unweighted,20261202,0.0016098132960101,0.03426047377080582,0.0281661423968462,0.9233436500558483
matched_unweighted_practical,observed_test_parent_weighted,optimized_minus_unweighted,optimized_gamma0p75_cap20,unweighted,20261212,0.0005438145894957752,0.036789979175991194,0.029849527702070694,0.9891184018632861
