protocol,subset,comparison,n_seeds,delta_nrmse_radial_mean,delta_nrmse_radial_std,delta_nrmse_radial_median,delta_nrmse_radial_sem,delta_nrmse_radial_ci_low,delta_nrmse_radial_ci_high,delta_nrmse_radial_probability_mean_below_zero,delta_nrmse_radial_wins,delta_nrmse_radial_ties,delta_nrmse_radial_losses,delta_nrmse_radial_sign_test_pvalue_two_sided,delta_nrmse_tangential_mean,delta_nrmse_tangential_std,delta_nrmse_tangential_median,delta_nrmse_tangential_sem,delta_nrmse_tangential_ci_low,delta_nrmse_tangential_ci_high,delta_nrmse_tangential_probability_mean_below_zero,delta_nrmse_tangential_wins,delta_nrmse_tangential_ties,delta_nrmse_tangential_losses,delta_nrmse_tangential_sign_test_pvalue_two_sided,delta_nrmse_3d_mean,delta_nrmse_3d_std,delta_nrmse_3d_median,delta_nrmse_3d_sem,delta_nrmse_3d_ci_low,delta_nrmse_3d_ci_high,delta_nrmse_3d_probability_mean_below_zero,delta_nrmse_3d_wins,delta_nrmse_3d_ties,delta_nrmse_3d_losses,delta_nrmse_3d_sign_test_pvalue_two_sided,delta_direction_error_median_deg_mean,delta_direction_error_median_deg_std,delta_direction_error_median_deg_median,delta_direction_error_median_deg_sem,delta_direction_error_median_deg_ci_low,delta_direction_error_median_deg_ci_high,delta_direction_error_median_deg_probability_mean_below_zero,delta_direction_error_median_deg_wins,delta_direction_error_median_deg_ties,delta_direction_error_median_deg_losses,delta_direction_error_median_deg_sign_test_pvalue_two_sided
matched_unweighted_practical,query_primary_boundary_safe,optimized_minus_unweighted,10,0.007190086777709097,0.002118871463317116,0.007375113514884998,0.0006700459893216,0.005787985601278282,0.008220216133875696,0.0,0,0,10,0.001953125,0.051087059938867085,0.03341360981708724,0.04127043890405793,0.010566311187015783,0.03884510540599924,0.07294052986954229,0.0,0,0,10,0.001953125,0.04308677042682718,0.027979132789901606,0.034743467128646316,0.008847778657239043,0.032878458638532074,0.061335453762389705,0.0,0,0,10,0.001953125,1.561500325956262,0.8589707938129312,1.485838422454545,0.27163041520117315,1.1440923901528994,2.12930112004079,0.0,0,0,10,0.001953125
matched_unweighted_practical,query_primary_boundary_safe,previous_minus_unweighted,10,0.009423586916364907,0.0027586828125666756,0.009572677260179775,0.000872372102967007,0.007603115952919919,0.010796006733715897,0.0,0,0,10,0.001953125,0.08202176233074404,0.041763382867970884,0.0681577893530451,0.013206741265644313,0.06599078665677673,0.1096321762898401,0.0,0,0,10,0.001953125,0.06891827476118163,0.03512089021716222,0.05736200344358677,0.011106200653895826,0.05552363287294761,0.09198533495570832,0.0,0,0,10,0.001953125,2.4340730997087876,1.1356141132096396,2.177512716757314,0.3591127140774768,1.9321587561459257,3.196640233337445,0.0,0,0,10,0.001953125
retuned_practical,observed_test_parent_weighted,optimized_minus_unweighted,10,0.0033321412945928586,0.0019060555070619866,0.003165752673118888,0.0006027476749023033,0.0023710144306671476,0.0045907530126482925,0.0,0,0,10,0.001953125,0.041551405792340866,0.03462052242238116,0.032040525192133906,0.01094797046396544,0.028358766552902866,0.06428120437481878,0.0,0,0,10,0.001953125,0.034169370612562935,0.028565005403810705,0.026383970364788595,0.009033047845105962,0.023316254371588824,0.05294536756817541,0.0,0,0,10,0.001953125,1.405019196229099,0.9556367793515805,1.1433508787896414,0.3021988838578762,1.0257053238032339,2.037095483974903,0.0,0,0,10,0.001953125
retuned_practical,observed_test_parent_weighted,previous_minus_unweighted,10,0.005193239849483314,0.0031905067501307722,0.004650696248534546,0.0010089268220554958,0.003664483240248374,0.007306030585307983,0.0,0,0,10,0.001953125,0.07322643146152745,0.04406051705556353,0.05747395976289027,0.013933158878027641,0.055942688842617404,0.1023276947889747,0.0,0,0,10,0.001953125,0.060158842307930185,0.036467238049544624,0.04722343480416116,0.011531953221211725,0.045897404370293486,0.08419758957078523,0.0,0,0,10,0.001953125,2.1091990308944006,1.30439243746508,1.697251275304691,0.4124851065088402,1.611590667705761,2.9654714935781596,0.0,0,0,10,0.001953125
retuned_practical,observed_test_unweighted,optimized_minus_unweighted,10,0.02325000279283113,0.027362546820762793,0.015116034202491843,0.00865279705366095,0.012140947968345193,0.04140432515585018,0.0,0,0,10,0.001953125,0.10417365380979096,0.07431665457142933,0.07600287550937286,0.02350098965296812,0.07268196660915814,0.1532924129108557,0.0,0,0,10,0.001953125,0.08570154766279892,0.06265696582206391,0.06239853305860217,0.019813872327304638,0.05930694346819003,0.12737838890883604,0.0,0,0,10,0.001953125,2.58623931048581,1.4317286551430726,2.1637599740916476,0.4527523541581856,2.003641397189922,3.5340013897672184,0.0,0,0,10,0.001953125
retuned_practical,observed_test_unweighted,previous_minus_unweighted,10,0.03848166745312561,0.034899608193017066,0.03019255497257143,0.01103622513374072,0.02290782246302626,0.061783768178425826,0.0,0,0,10,0.001953125,0.18320616237907852,0.09024103382283459,0.1547862873325092,0.028536720528844893,0.14173343911450859,0.24424359924878003,0.0,0,0,10,0.001953125,0.15039638195238322,0.07617094271898363,0.12696452099837413,0.024087367051420717,0.11573549205639166,0.20087258246549453,0.0,0,0,10,0.001953125,4.1405902302598205,1.7534929643006667,3.595828430346773,0.5545031628270427,3.3911273277608007,5.3073810878994205,0.0,0,0,10,0.001953125
retuned_practical,query_primary_boundary_safe,optimized_minus_unweighted,10,0.003272267218156924,0.0011150341718109264,0.002972019608859802,0.00035260476518420426,0.0026921910790521013,0.003990374945928944,0.0,0,0,10,0.001953125,0.058366787363655824,0.029664373505629664,0.05057678570788242,0.009380698563974343,0.044716829214361965,0.07814716370590193,0.0,0,0,10,0.001953125,0.04849840393741787,0.025020960676354773,0.04200285562166879,0.00791232249827882,0.037140344528065854,0.06534619340762335,0.0,0,0,10,0.001953125,1.3374397798944864,0.8361146399615671,1.1258393350666385,0.26440266472901913,0.9121025754855026,1.8790209422182227,0.0,0,0,10,0.001953125
retuned_practical,query_primary_boundary_safe,previous_minus_unweighted,10,0.005694152653623698,0.0014428318776175356,0.005554070291499902,0.00045626350139687296,0.004862415869354675,0.006561105298098988,0.0,0,0,10,0.001953125,0.09216923004096648,0.03719072396501242,0.083540420582765,0.011760739556004754,0.07580678817714277,0.11698420599087421,0.0,0,0,10,0.001953125,0.07679337666365627,0.031481187331215,0.06948532896239748,0.0099552255413077,0.06298756906373076,0.09779487797493991,0.0,0,0,10,0.001953125,2.1847162353819107,1.296340524908537,1.8614313601827783,0.40993886818892167,1.6303308896859041,3.0498755276792986,0.0,0,0,10,0.001953125
retuned_raw,observed_test_parent_weighted,optimized_minus_unweighted,10,0.004416728365924127,0.0057692332616664085,0.002721896583800596,0.0018243917459668036,0.002019749176228503,0.008251226862059617,0.0,0,0,10,0.001953125,0.054642592990617876,0.05846682517041823,0.03752019866449552,0.018488833509738387,0.03350464070221737,0.09274606342132105,0.0,0,0,10,0.001953125,0.04500661902109273,0.04843744313320566,0.030808665151051073,0.015317264433581251,0.02757846808511635,0.07650230509828695,0.0,0,0,10,0.001953125,1.4697488924534405,1.682206873827456,0.9169339914233285,0.5319605216886252,0.84476417420154,2.57135109611105,0.0,0,0,10,0.001953125
retuned_raw,observed_test_parent_weighted,previous_minus_unweighted,10,0.00620221685736595,0.006794527782340018,0.004737549398231351,0.002148618341748724,0.0033096424261196233,0.010761931864827975,0.0,0,0,10,0.001953125,0.08384218960068361,0.065688475544505,0.062076452079990685,0.020772519874490507,0.05942189644178732,0.1268636059868788,0.0,0,0,10,0.001953125,0.06899214870065432,0.05449337974011682,0.051027650345266407,0.017232319737924356,0.04882871386565401,0.1045747799009864,0.0,0,0,10,0.001953125,2.179456892192792,2.0036856515621206,1.4812075615964484,0.6336210373934817,1.42079015045538,3.499634753741108,0.0,0,0,10,0.001953125
retuned_raw,observed_test_unweighted,optimized_minus_unweighted,10,0.03282103218948988,0.053209230633841656,0.01654912557884656,0.016826236134814442,0.013030424735066248,0.06766519739132577,0.0,0,0,10,0.001953125,0.13891180945511603,0.14933465210024424,0.10257491979986788,0.04722376342256193,0.08209676069563838,0.2369832874629095,0.0,0,0,10,0.001953125,0.11460407780537381,0.12572737622982758,0.08369524210361015,0.03975848731231686,0.06696144955456451,0.1975034401578183,0.0,0,0,10,0.001953125,3.0844644742300167,2.6292101437085047,2.2447830645503952,0.8314292501337498,2.110899669647215,4.807185292032199,0.0,0,0,10,0.001953125
retuned_raw,observed_test_unweighted,previous_minus_unweighted,10,0.04759551915303094,0.05838880584189118,0.03200867521277726,0.01846416163177214,0.02369352266768534,0.08620384622061503,0.0,0,0,10,0.001953125,0.21422192230875486,0.15762657530232957,0.18018661199985725,0.04984589977274056,0.14974567210273423,0.3181530783099975,0.0,0,0,10,0.001953125,0.17625547378145148,0.1329401937220259,0.14802372732399677,0.04203938047456191,0.12195295833608369,0.26437622501236535,0.0,0,0,10,0.001953125,4.586148407069031,2.8763105494045234,3.6422740797663824,0.9095692594088561,3.4885890860034476,6.4884955255934,0.0,0,0,10,0.001953125
retuned_raw,query_primary_boundary_safe,optimized_minus_unweighted,10,0.004362139582947297,0.009769149741098847,0.009686565667030779,0.0030892763985116587,-0.0018984163157296009,0.009452313868187618,0.079,3,0,7,0.34375,0.05933179598800311,0.055191757405846045,0.04469457218002755,0.017453166146993965,0.03657576625953568,0.09610019460060634,0.0,0,0,10,0.001953125,0.049626043468326844,0.04540951807407838,0.03797602869650141,0.01435975045646703,0.030857712183020303,0.08003769192099805,0.0,0,0,10,0.001953125,1.5908620273775813,1.3133228484971484,1.3064654465174828,0.4153091504391233,1.0227286330159284,2.4661795430850555,0.0,0,0,10,0.001953125
retuned_raw,query_primary_boundary_safe,previous_minus_unweighted,10,0.006376794416098269,0.010256085909322506,0.011891126322096858,0.003243259135181826,-0.0002765622392973441,0.011703889090860313,0.02902,2,0,8,0.109375,0.08737319914017436,0.06242084354888683,0.07325368654425725,0.01973920390835103,0.06202492860506539,0.12874540545205476,0.0,0,0,10,0.001953125,0.07308346291885451,0.051586146236425615,0.061721374619659014,0.016312971781762782,0.0520529299550514,0.10745825781783895,0.0,0,0,10,0.001953125,2.2779107233566647,1.5493805265949012,1.8846839398277822,0.48995714263509754,1.5989852651462193,3.3096781824019073,0.0,0,0,10,0.001953125
