model_id,model_role,protocol,selector,loss_name,loss_label,subset,n_basis,n_diffusion_modes,regularization_strength,penalty_power,extra_cholesky_jitter,n,nrmse_radial,nrmse_tangential,nrmse_3d,direction_error_median_deg,direction_error_p90_deg,vector_gain_through_origin,replicate,label_seed
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,observed_test_parent_weighted,3074,3071,1e-06,2.0,0.0,1489,0.05581517931921266,0.25047486048186235,0.208662865173243,7.378983410026676,18.472440394887197,0.9564349516011444,3,20261222
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,observed_test_unweighted,3074,3071,1e-06,2.0,0.0,1489,0.038334095939131875,0.19723651798436811,0.16006079417506658,5.311254809191763,14.737118212772078,0.9726319133836187,3,20261222
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,query_primary_boundary_safe,3074,3071,1e-06,2.0,0.0,266,0.12453432797717283,0.2342812491473207,0.2098961210525928,7.647824764980214,17.36708204678575,0.9638944017744038,3,20261222
selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_parent_weighted,2050,2047,1e-06,2.0,0.0,1489,0.06613686448915061,0.24646845831091654,0.2063869941029926,7.925230434310027,19.38450786980087,0.9602280464882165,3,20261222
selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_unweighted,2050,2047,1e-06,2.0,0.0,1489,0.044752479058575836,0.2013346646850842,0.16389780152786873,5.6821065409666724,15.354977244562047,0.9756990642382589,3,20261222
selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,Unweighted,query_primary_boundary_safe,2050,2047,1e-06,2.0,0.0,266,0.11381703975077014,0.27007305955510497,0.23757169444698892,8.105861527676506,20.40791756956378,0.9614187569631392,3,20261222
selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,unweighted,Unweighted,observed_test_parent_weighted,3074,3071,1e-06,2.0,0.0,1489,0.05581517931921266,0.25047486048186235,0.208662865173243,7.378983410026676,18.472440394887197,0.9564349516011444,3,20261222
selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,unweighted,Unweighted,observed_test_unweighted,3074,3071,1e-06,2.0,0.0,1489,0.038334095939131875,0.19723651798436811,0.16006079417506658,5.311254809191763,14.737118212772078,0.9726319133836187,3,20261222
selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,unweighted,Unweighted,query_primary_boundary_safe,3074,3071,1e-06,2.0,0.0,266,0.12453432797717283,0.2342812491473207,0.2098961210525928,7.647824764980214,17.36708204678575,0.9638944017744038,3,20261222
selector::practical_hidden_3d_validation_diagnostic,selector,selector,practical_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_parent_weighted,3074,3071,1e-06,2.0,0.0,1489,0.05581517931921266,0.25047486048186235,0.208662865173243,7.378983410026676,18.472440394887197,0.9564349516011444,3,20261222
selector::practical_hidden_3d_validation_diagnostic,selector,selector,practical_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_unweighted,3074,3071,1e-06,2.0,0.0,1489,0.038334095939131875,0.19723651798436811,0.16006079417506658,5.311254809191763,14.737118212772078,0.9726319133836187,3,20261222
selector::practical_hidden_3d_validation_diagnostic,selector,selector,practical_hidden_3d_validation_diagnostic,unweighted,Unweighted,query_primary_boundary_safe,3074,3071,1e-06,2.0,0.0,266,0.12453432797717283,0.2342812491473207,0.2098961210525928,7.647824764980214,17.36708204678575,0.9638944017744038,3,20261222
selector::fixed_global_practical_policy,selector,selector,fixed_global_practical_policy,unweighted,Unweighted,observed_test_parent_weighted,3074,3071,1e-06,2.0,0.0,1489,0.05581517931921266,0.25047486048186235,0.208662865173243,7.378983410026676,18.472440394887197,0.9564349516011444,3,20261222
selector::fixed_global_practical_policy,selector,selector,fixed_global_practical_policy,unweighted,Unweighted,observed_test_unweighted,3074,3071,1e-06,2.0,0.0,1489,0.038334095939131875,0.19723651798436811,0.16006079417506658,5.311254809191763,14.737118212772078,0.9726319133836187,3,20261222
selector::fixed_global_practical_policy,selector,selector,fixed_global_practical_policy,unweighted,Unweighted,query_primary_boundary_safe,3074,3071,1e-06,2.0,0.0,266,0.12453432797717283,0.2342812491473207,0.2098961210525928,7.647824764980214,17.36708204678575,0.9638944017744038,3,20261222
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,observed_test_parent_weighted,3842,3839,1e-06,2.0,0.0,1489,0.05090351652428529,0.27359958059534456,0.22605945973344946,8.20653435172376,21.64299016103195,0.9570855214864475,4,20270102
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,observed_test_unweighted,3842,3839,1e-06,2.0,0.0,1489,0.0368279957269145,0.21686236480919271,0.1758272521108816,6.084642070384359,16.316666592390067,0.9717364485240811,4,20270102
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,query_primary_boundary_safe,3842,3839,1e-06,2.0,0.0,266,0.1354067304843113,0.27584175816172457,0.24536359965651344,8.185741169101036,21.018791540873746,0.9615246390756659,4,20270102
selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_parent_weighted,2307,2304,1e-06,2.0,0.0,1489,0.06235848381109704,0.26102368538264925,0.21683164197102966,8.097148171993762,21.353515398630574,0.9585206979182824,4,20270102
selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_unweighted,2307,2304,1e-06,2.0,0.0,1489,0.04391291290984909,0.20689891306778438,0.1684771392410233,5.916080623880098,16.115105566065854,0.9709381891053294,4,20270102
selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,Unweighted,query_primary_boundary_safe,2307,2304,1e-06,2.0,0.0,266,0.11664388249707647,0.22594063548018228,0.20186684631847088,7.232536637216641,17.378217040491013,0.9633045234507257,4,20270102
selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,unweighted,Unweighted,observed_test_parent_weighted,3074,3071,1e-06,2.0,0.0,1489,0.05325190319160766,0.2644773496703031,0.21883381673970997,8.166370195509469,21.225405564294398,0.9584662628404687,4,20270102
selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,unweighted,Unweighted,observed_test_unweighted,3074,3071,1e-06,2.0,0.0,1489,0.03770562594651518,0.20995678448146185,0.170384162587779,5.838944297004449,15.882022643242339,0.9708565540975812,4,20270102
selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,unweighted,Unweighted,query_primary_boundary_safe,3074,3071,1e-06,2.0,0.0,266,0.12337257742006301,0.23948509997442083,0.21392628017325993,8.247011165020938,18.639283138949963,0.9600961960195051,4,20270102
selector::practical_hidden_3d_validation_diagnostic,selector,selector,practical_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_parent_weighted,3074,3071,1e-06,2.0,0.0,1489,0.05325190319160766,0.2644773496703031,0.21883381673970997,8.166370195509469,21.225405564294398,0.9584662628404687,4,20270102
selector::practical_hidden_3d_validation_diagnostic,selector,selector,practical_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_unweighted,3074,3071,1e-06,2.0,0.0,1489,0.03770562594651518,0.20995678448146185,0.170384162587779,5.838944297004449,15.882022643242339,0.9708565540975812,4,20270102
selector::practical_hidden_3d_validation_diagnostic,selector,selector,practical_hidden_3d_validation_diagnostic,unweighted,Unweighted,query_primary_boundary_safe,3074,3071,1e-06,2.0,0.0,266,0.12337257742006301,0.23948509997442083,0.21392628017325993,8.247011165020938,18.639283138949963,0.9600961960195051,4,20270102
selector::fixed_global_practical_policy,selector,selector,fixed_global_practical_policy,unweighted,Unweighted,observed_test_parent_weighted,3074,3071,1e-06,2.0,0.0,1489,0.05325190319160766,0.2644773496703031,0.21883381673970997,8.166370195509469,21.225405564294398,0.9584662628404687,4,20270102
selector::fixed_global_practical_policy,selector,selector,fixed_global_practical_policy,unweighted,Unweighted,observed_test_unweighted,3074,3071,1e-06,2.0,0.0,1489,0.03770562594651518,0.20995678448146185,0.170384162587779,5.838944297004449,15.882022643242339,0.9708565540975812,4,20270102
selector::fixed_global_practical_policy,selector,selector,fixed_global_practical_policy,unweighted,Unweighted,query_primary_boundary_safe,3074,3071,1e-06,2.0,0.0,266,0.12337257742006301,0.23948509997442083,0.21392628017325993,8.247011165020938,18.639283138949963,0.9600961960195051,4,20270102
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,observed_test_parent_weighted,4354,4351,1e-06,2.0,0.0,1489,0.05660914234483527,0.2604198677146651,0.21895986875140613,7.98428788877401,21.381420919980485,0.9472351895514137,5,20270112
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,observed_test_unweighted,4354,4351,1e-06,2.0,0.0,1489,0.03964995591729939,0.22132594689850496,0.18159299687788988,5.560480852811667,16.393236499536812,0.9676956846468744,5,20270112
selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,Unweighted,query_primary_boundary_safe,4354,4351,1e-06,2.0,0.0,266,0.1348008034904139,0.2780179505044169,0.2470466431091948,8.3979506979106,20.37751191940222,0.9591313696584168,5,20270112
selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_parent_weighted,2050,2047,1e-06,2.0,0.0,1489,0.07448966103196944,0.2530692612385463,0.21459502627249927,8.260385209300184,20.968335763950016,0.9487426414351986,5,20270112
selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_unweighted,2050,2047,1e-06,2.0,0.0,1489,0.04973137784769662,0.20482010549998825,0.16917857486195778,5.804499826669439,16.196939615543137,0.9694279989549899,5,20270112
selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,Unweighted,query_primary_boundary_safe,2050,2047,1e-06,2.0,0.0,266,0.11173442071905146,0.24874371248729185,0.21974721107774775,8.0132435801184,18.591925710333246,0.9635638284440539,5,20270112
selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,unweighted,Unweighted,observed_test_parent_weighted,3074,3071,1e-06,2.0,0.0,1489,0.06154798122598139,0.25142707278057574,0.21198075960182472,7.837340202541157,20.476098026937596,0.9488190849567057,5,20270112
selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,unweighted,Unweighted,observed_test_unweighted,3074,3071,1e-06,2.0,0.0,1489,0.04130842890938869,0.20304527299816086,0.16698204008962836,5.691401142884878,15.535029683711501,0.9697240490661082,5,20270112
selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,unweighted,Unweighted,query_primary_boundary_safe,3074,3071,1e-06,2.0,0.0,266,0.12338017453377438,0.2430649981610983,0.21683472735088616,7.90690314013901,18.760431589879293,0.9643693305720489,5,20270112
selector::practical_hidden_3d_validation_diagnostic,selector,selector,practical_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_parent_weighted,3074,3071,1e-06,2.0,0.0,1489,0.06154798122598139,0.25142707278057574,0.21198075960182472,7.837340202541157,20.476098026937596,0.9488190849567057,5,20270112
selector::practical_hidden_3d_validation_diagnostic,selector,selector,practical_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_unweighted,3074,3071,1e-06,2.0,0.0,1489,0.04130842890938869,0.20304527299816086,0.16698204008962836,5.691401142884878,15.535029683711501,0.9697240490661082,5,20270112
selector::practical_hidden_3d_validation_diagnostic,selector,selector,practical_hidden_3d_validation_diagnostic,unweighted,Unweighted,query_primary_boundary_safe,3074,3071,1e-06,2.0,0.0,266,0.12338017453377438,0.2430649981610983,0.21683472735088616,7.90690314013901,18.760431589879293,0.9643693305720489,5,20270112
selector::fixed_global_practical_policy,selector,selector,fixed_global_practical_policy,unweighted,Unweighted,observed_test_parent_weighted,3074,3071,1e-06,2.0,0.0,1489,0.06154798122598139,0.25142707278057574,0.21198075960182472,7.837340202541157,20.476098026937596,0.9488190849567057,5,20270112
selector::fixed_global_practical_policy,selector,selector,fixed_global_practical_policy,unweighted,Unweighted,observed_test_unweighted,3074,3071,1e-06,2.0,0.0,1489,0.04130842890938869,0.20304527299816086,0.16698204008962836,5.691401142884878,15.535029683711501,0.9697240490661082,5,20270112
selector::fixed_global_practical_policy,selector,selector,fixed_global_practical_policy,unweighted,Unweighted,query_primary_boundary_safe,3074,3071,1e-06,2.0,0.0,266,0.12338017453377438,0.2430649981610983,0.21683472735088616,7.90690314013901,18.760431589879293,0.9643693305720489,5,20270112
selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_parent_weighted,3074,3071,1e-06,2.0,0.0,1489,0.06254562388469208,0.25362515922001805,0.21305666211924318,7.633542894303063,21.436568208725802,0.9532345477629722,6,20270122
selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,Unweighted,observed_test_unweighted,3074,3071,1e-06,2.0,0.0,1489,0.04474057351591286,0.20938889629537527,0.17303546001457165,5.599005270605341,15.395660729594622,0.9631322066774058,6,20270122
