seed_pair_index,reference_seed,label_seed,noise_fraction,noise_realization,working_model,n_basis,regularization_strength,penalty_power
2,20260825,20260824,0.05,9,gls_correct,1539,0.0001,2.0
2,20260825,20260824,0.05,9,gls_flattened,1539,0.0001,2.0
2,20260825,20260824,0.05,9,ols,1539,1e-06,2.0
2,20260825,20260824,0.05,10,gls_correct,1539,0.0001,2.0
2,20260825,20260824,0.05,10,gls_flattened,1539,1e-06,2.0
2,20260825,20260824,0.05,10,ols,1539,1e-06,2.0
2,20260825,20260824,0.05,11,gls_correct,1539,0.0001,2.0
2,20260825,20260824,0.05,11,gls_flattened,1539,0.0001,2.0
2,20260825,20260824,0.05,11,ols,1539,0.0001,2.0
2,20260825,20260824,0.1,0,gls_correct,1795,0.0001,2.0
2,20260825,20260824,0.1,0,gls_flattened,1795,0.0001,2.0
2,20260825,20260824,0.1,0,ols,1795,0.0001,2.0
2,20260825,20260824,0.1,1,gls_correct,1795,0.0001,2.0
2,20260825,20260824,0.1,1,gls_flattened,1795,0.0001,2.0
2,20260825,20260824,0.1,1,ols,1795,0.0001,2.0
2,20260825,20260824,0.1,2,gls_correct,1795,0.0001,2.0
2,20260825,20260824,0.1,2,gls_flattened,1795,0.0001,2.0
2,20260825,20260824,0.1,2,ols,1795,0.0001,2.0
2,20260825,20260824,0.1,3,gls_correct,1795,0.0001,2.0
2,20260825,20260824,0.1,3,gls_flattened,1795,0.0001,2.0
2,20260825,20260824,0.1,3,ols,1795,0.0001,2.0
2,20260825,20260824,0.1,4,gls_correct,1795,0.0001,2.0
2,20260825,20260824,0.1,4,gls_flattened,1795,0.0001,2.0
2,20260825,20260824,0.1,4,ols,1795,0.0001,2.0
2,20260825,20260824,0.1,5,gls_correct,1795,0.0001,2.0
2,20260825,20260824,0.1,5,gls_flattened,1795,0.0001,2.0
2,20260825,20260824,0.1,5,ols,1795,0.0001,2.0
