working_model,noise_fraction,n_basis,validation_mean,validation_std_between_seeds,validation_observed_nrmse_mean,validation_latent_nrmse_radial_mean,validation_hidden_nrmse_3d_mean,validation_hidden_nrmse_tangential_mean,n_seed_pairs,validation_sem_between_seeds
gls_flattened,0.05,35,11.768628472201897,0.3949389894377318,0.5843988806263682,0.583123298593539,0.6935796432123724,0.7644413609779864,5,0.17662208546956795
gls_flattened,0.05,67,10.58785197185064,0.25959609546673457,0.5254358837687338,0.524015596403599,0.670565457326785,0.7605291155926237,5,0.1160949032314287
gls_flattened,0.05,131,8.867168354082049,0.20570771524039927,0.4418523860667549,0.440170165757951,0.6594283207171673,0.7820451347743612,5,0.09199528695474045
gls_flattened,0.05,259,6.366456485303086,0.09424492880865533,0.31597959558344285,0.3126629528367012,0.576612743412231,0.7104350090669644,5,0.04214761347015632
gls_flattened,0.05,387,5.46858737647482,0.1646033160196161,0.2712667596634082,0.26736909754499877,0.5615134135394991,0.702872274152914,5,0.07361284078834834
gls_flattened,0.05,514,4.854300929539098,0.17253482803094206,0.2382510637231252,0.23362661037343285,0.5449224726254084,0.688947305482389,5,0.07715992079268452
gls_flattened,0.05,643,4.294126819555465,0.19904755972576324,0.21103393877049043,0.20568066000312685,0.5277399582942716,0.6718563434492892,5,0.08901677486045119
gls_flattened,0.05,771,3.884338455346577,0.18333772121297306,0.19062800196701069,0.18445325530359194,0.5228156764325175,0.6698233457867213,5,0.08199112149442259
gls_flattened,0.05,899,3.6153112555363656,0.07125865687593283,0.17685088970131876,0.17030975463863346,0.5366820801391193,0.6913151238402304,5,0.03186784015198372
gls_flattened,0.05,1027,3.3702661741183766,0.05946331768747137,0.16410201765832996,0.1569087254976122,0.5456922037452445,0.7059915106630372,5,0.026592804103370317
gls_flattened,0.05,1283,3.114612361375014,0.11577733448581239,0.15068197887760365,0.14258538988570574,0.5250699044660141,0.6807293637976539,5,0.05177719803280143
gls_flattened,0.05,1539,3.0325220901229217,0.08052009863312148,0.1457648451780782,0.13776351712030568,0.51143497647883,0.6630047813696652,5,0.03600968281972951
gls_flattened,0.05,1795,3.0105914818371224,0.1100541272457921,0.1447797686127457,0.13651440803407305,0.4737316827737937,0.6127730518260696,5,0.049217701945200566
gls_flattened,0.05,2050,3.0005610314938487,0.10945335094744914,0.14419183779711964,0.13575083358623297,0.4673998789539657,0.6044988486262299,5,0.048949026616727453
gls_flattened,0.1,3,10.202727659488847,0.09478295033617617,0.9684379124808895,0.9679630985221538,1.0678270681892397,1.1357011137449868,5,0.042388224011935295
gls_flattened,0.1,6,9.763678986222368,0.08702381970534324,0.9392352056279639,0.9382920776734744,0.9437808993751522,0.9477129244475352,5,0.03891823530456664
gls_flattened,0.1,11,9.65267501965764,0.06204510189943973,0.9276659009539714,0.9266336498332285,0.94173525168499,0.9526147052098823,5,0.02774741310360971
gls_flattened,0.1,19,6.963886669471444,0.16480802535586528,0.6802376795839382,0.6762763582748954,0.8068141276666158,0.8904441190863835,5,0.07370438958664474
gls_flattened,0.1,35,5.9453079219087925,0.19586153191282266,0.5884507971536264,0.5831817761845675,0.6943608710676114,0.7656562756063319,5,0.08759193990686318
gls_flattened,0.1,67,5.360814009353282,0.12687989263513771,0.5303889144990076,0.524220715945375,0.6706153996464834,0.7605024610900457,5,0.05674241298200857
gls_flattened,0.1,131,4.5123583585784415,0.10027029972330817,0.44822161556354645,0.4404855652854889,0.6606543208283864,0.7836903544465126,5,0.04484224126111908
gls_flattened,0.1,259,3.3003957373827397,0.04520162029849139,0.3268619201879831,0.3135207220171123,0.5781817694066037,0.7123714356705194,5,0.020214779136112214
gls_flattened,0.1,387,2.872229375663945,0.07791714935309821,0.2844670228393771,0.26871476525297455,0.5634239538996573,0.7051401457136149,5,0.03484560851330627
gls_flattened,0.1,514,2.586165211720684,0.08016261379396371,0.2539407021489545,0.23568655771305197,0.5411131659047109,0.683174159522793,5,0.035849810739473034
gls_flattened,0.1,643,2.3315151887340293,0.09012309636633861,0.22929427183566253,0.20861737797610033,0.5249228212510608,0.667383470558175,5,0.04030427396357948
gls_flattened,0.1,771,2.156820094986029,0.07456689288713632,0.21205507551643227,0.18900104232636467,0.5251226568797495,0.6719871926576839,5,0.03334732827331647
gls_flattened,0.1,899,2.0437399777458367,0.03648232563419593,0.20058140195092874,0.17619129760291147,0.5214430126021861,0.6695717856094056,5,0.016315392019069043
gls_flattened,0.1,1027,1.948958162394155,0.029171901178116938,0.19070810014506875,0.16488327373448156,0.5169436363555235,0.6655509749841062,5,0.013046070813435133
gls_flattened,0.1,1283,1.858183004590077,0.037895898625822814,0.18129725238138314,0.15329285754996147,0.48979755364658645,0.6311716227582903,5,0.016947561079156136
