seed_pair_index,working_model,noise_fraction,n_basis,validation_selection_score,validation_observed_nrmse,validation_latent_nrmse_radial,validation_hidden_nrmse_3d,validation_hidden_nrmse_tangential
0,gls_flattened,0.1,771,2.141715267821297,0.21490551804145586,0.19214922811702917,0.5459223333059859,0.6872369774696021
0,gls_flattened,0.1,899,2.035167764813444,0.20333781941553594,0.17879745644962794,0.5311587339892042,0.6701372487096662
0,gls_flattened,0.1,1027,1.9471012053980072,0.1941282838054439,0.1684470326484965,0.526729892362814,0.6660851496350343
0,gls_flattened,0.1,1283,1.8687267153954978,0.185468774141319,0.15769537941019943,0.5037627363453269,0.6375683235927437
0,gls_flattened,0.1,1539,1.8306759203140877,0.18032125676343044,0.1507241274409489,0.43042684413008553,0.541988784087906
0,gls_flattened,0.1,1795,1.8095509899003275,0.17768797318624707,0.1475498372400688,0.4308111761568489,0.5430799337608633
0,gls_flattened,0.1,2050,1.8066421967764887,0.17723502670683067,0.14695917366680378,0.4308707599642312,0.543265761364521
0,gls_flattened,0.2,3,5.156475553070028,0.9738933808461243,0.9724976682151097,1.056510005063437,1.1090444135678024
0,gls_flattened,0.2,6,4.895417391053226,0.9394391691524158,0.9358599763925585,0.9435163233985123,0.9485913610738063
0,gls_flattened,0.2,11,4.878316609887365,0.9329054836971681,0.9290693310835811,0.9435955485434513,0.9531668586925554
0,gls_flattened,0.2,19,3.5375419676034325,0.6889662792317832,0.6727813978652363,0.7893183315015396,0.858334054444927
0,gls_flattened,0.2,35,3.142120067241974,0.6169725782964627,0.5957894033757091,0.7059572358444738,0.7707690045226947
0,gls_flattened,0.2,67,2.845142537583167,0.558691424344624,0.5340043101981112,0.6526632042939693,0.7210714631946851
0,gls_flattened,0.2,131,2.3826464413405066,0.47105375674691374,0.4386969062583102,0.6553584787301828,0.7666023000916717
0,gls_flattened,0.2,259,1.8677296050737755,0.3707043507642423,0.3212303277065432,0.5749102014962764,0.6944162620342654
0,gls_flattened,0.2,387,1.7223981800401347,0.3427089744025531,0.2879775047618805,0.5635883345428296,0.6886078580682676
0,gls_flattened,0.2,514,1.5867706996517343,0.3134471172838559,0.251306862266122,0.5444456965453516,0.6722991280415588
0,gls_flattened,0.2,643,1.464360663591527,0.29088250914250047,0.2212275043889028,0.5185473631952947,0.6445324015454998
0,gls_flattened,0.2,771,1.4121773347541122,0.28017985780733795,0.2054410207385842,0.479316040708526,0.5956741621904942
0,gls_flattened,0.2,899,1.3809634693000425,0.2736108906312965,0.19524325075271162,0.4619192644374636,0.5747397352042151
0,gls_flattened,0.2,1027,1.3506755002903412,0.2673967290723093,0.18604329974879621,0.45387712851856604,0.5660274579419137
0,gls_flattened,0.2,1283,1.3222559053959706,0.2620263920235097,0.1766776673498919,0.44327385264450864,0.5538875636662559
0,gls_flattened,0.2,1539,1.3002435202388625,0.25764197927952176,0.16922296605223744,0.4435748485347288,0.5558380853457102
0,gls_flattened,0.2,1795,1.2938561937854909,0.2560872320825612,0.1670757877355855,0.44382291113662603,0.5566019788825342
0,gls_flattened,0.2,2050,1.293873550657108,0.25605749064868455,0.1669212390361606,0.4438007016651942,0.5566037814174088
0,gls_flattened,0.4,3,2.715386398307269,0.976942357825466,0.9725266238216497,1.055964361998615,1.1081591538584645
0,gls_flattened,0.4,6,2.593219342150688,0.9468376236509582,0.9358742225444918,0.94321827215351,0.9480862215859828
0,gls_flattened,0.4,11,2.5853386788469623,0.9411067496288955,0.9292098503875703,0.943719621481503,0.953279066681338
0,gls_flattened,0.4,19,1.9627583094410352,0.7280648641076137,0.6729236458826766,0.7905906402957426,0.8602079126505311
0,gls_flattened,0.4,35,1.7869543657007156,0.6684106935634748,0.5970242937973816,0.7025397449049157,0.7648805675617787
0,gls_flattened,0.4,67,1.6574136512871405,0.6203828348564108,0.535765829447531,0.6556574743544856,0.7247157118734938
0,gls_flattened,0.4,131,1.462985160949314,0.5514253471388354,0.4426473635502735,0.6620542549965905,0.7746245055402757
0,gls_flattened,0.4,259,1.2721731507399756,0.4815524475987501,0.33186472739588146,0.595352622405645,0.7193158491076407
0,gls_flattened,0.4,387,1.2257631657111003,0.4648965396764872,0.30397749081398134,0.57243385169772,0.696183577116322
0,gls_flattened,0.4,514,1.1868460037961885,0.44909032971202995,0.2739946853813579,0.5591070777459509,0.6863604652141181
0,gls_flattened,0.4,643,1.1533229535030622,0.4375959676549473,0.2518280232413627,0.5358062825511382,0.6605411559140605
0,gls_flattened,0.4,771,1.1419370950742873,0.43326217403361017,0.24143713116249108,0.5166318908232395,0.6372710802865477
0,gls_flattened,0.4,899,1.136879741078724,0.4313834988274443,0.23684681376654193,0.5091593536070106,0.6283335936618821
0,gls_flattened,0.4,1027,1.1314424403265912,0.42937130855416256,0.23270161583635104,0.5025001842681933,0.6203791142238287
0,gls_flattened,0.4,1283,1.130674792342743,0.42919793400798056,0.2307876771193013,0.4944109216206862,0.6099261800572471
0,gls_flattened,0.4,1539,1.1293925301939354,0.428880319075297,0.228927392502033,0.4940189279059454,0.6098595510596317
0,gls_flattened,0.4,1795,1.1286960971132058,0.4284769237797941,0.22937982702945067,0.4937410253304162,0.6093731945085565
0,gls_flattened,0.4,2050,1.129999558893304,0.429056384177326,0.23038173543380822,0.49322077285217514,0.60841739414424
0,gls_flattened,0.8,3,1.6005474670015403,0.9842068414555886,0.972684100241091,1.0549808345061178,1.1064977731329055
0,gls_flattened,0.8,6,1.5503688513418796,0.9639235611175706,0.9360962903235645,0.9436395090889628,0.9486301141925525
0,gls_flattened,0.8,11,1.5473169385230028,0.9601287804132167,0.929805763697153,0.945017519531198,0.9550283388352837
0,gls_flattened,0.8,19,1.2967677711206418,0.8182076623153386,0.6739657908270852,0.7929684127091248,0.8632993705639302
0,gls_flattened,0.8,35,1.2324546679058213,0.782293793160893,0.5999919984580628,0.7046776187149115,0.7665633177173397
0,gls_flattened,0.8,67,1.187427391390003,0.7543376733683703,0.5420875314426542,0.6677033915678355,0.7397446933536439
0,gls_flattened,0.8,131,1.1226766847685512,0.7165076976811591,0.45640680864706384,0.6820044718648316,0.79778592925808
0,gls_flattened,0.8,259,1.0723249869585365,0.6856159317924476,0.3667568633315182,0.643004192108383,0.7742717816733417
0,gls_flattened,0.8,387,1.0650641072869564,0.6815701092005221,0.3573083158931117,0.6553826029553785,0.7942687095211728
0,gls_flattened,0.8,514,1.063698468522019,0.6802030933056487,0.35032770437916655,0.6755586175817242,0.8240070077897154
0,gls_flattened,0.8,643,1.0615887353827527,0.6794098250943666,0.34991838430396754,0.6722437491496476,0.8195787402684888
0,gls_flattened,0.8,771,1.0648590527980033,0.6812341574611654,0.352024631911916,0.6680183262941596,0.8131992294294251
0,gls_flattened,0.8,899,1.0683062700363513,0.6836815196322794,0.3582808599838547,0.6663873448400094,0.8091491709178765
0,gls_flattened,0.8,1027,1.0706514591722016,0.6852926687110722,0.36399758427367224,0.663297769963035,0.8031911260357708
0,gls_flattened,0.8,1283,1.0775701438962513,0.6895958340503379,0.3761417484506547,0.6621202284568661,0.7978032387372861
0,gls_flattened,0.8,1539,1.0824726453316116,0.6929922062889462,0.3843193275014471,0.6601941799990537,0.7925072204796549
0,gls_flattened,0.8,1795,1.0834598987496353,0.6935229559373882,0.38947044338847797,0.6583980024955843,0.7883226175203456
0,gls_flattened,0.8,2050,1.0852079462704378,0.6948169056886598,0.39273125781510143,0.6561879642913498,0.7841558079656555
0,ols,0.05,3,19.184859108360126,0.9735358588190562,0.9733569505559968,1.0734642333028261,1.13537574862838
0,ols,0.05,6,18.459205648254844,0.9367126062986818,0.9362972898108506,0.9578256492676517,0.9719284830084624
0,ols,0.05,11,18.342853055844987,0.9308082719685525,0.9303909818346194,0.963043444094462,0.9842333086689458
0,ols,0.05,19,13.239125553677916,0.6718184951948337,0.6705924236095179,0.8143695833571156,0.8976031269347916
0,ols,0.05,35,11.774709201122207,0.5975058305033368,0.5960125817653873,0.7265494046946457,0.8019331831632636
0,ols,0.05,67,10.511265145690041,0.5333923671573148,0.5319191960134318,0.666131427333038,0.7423242189705123
