seed_pair_index,protocol,working_model,noise_fraction,test_observed_nrmse_radial,test_latent_nrmse_radial,test_hidden_nrmse_tangential,test_hidden_nrmse_3d,test_hidden_direction_error_median_deg,test_working_measurement_whitened_residual_rms,test_true_measurement_whitened_residual_rms,precision_effective_sample_size_fit,normal_matrix_condition,effective_degrees_of_freedom,coverage_model_observed_radial_68,coverage_model_observed_radial_95,coverage_model_latent_radial_68,coverage_model_latent_radial_95,coverage_model_latent_component_68,coverage_model_latent_component_95,coverage_oracle_observed_radial_68,coverage_oracle_observed_radial_95,coverage_oracle_latent_radial_68,coverage_oracle_latent_radial_95,coverage_oracle_latent_component_68,coverage_oracle_latent_component_95
3,retuned_practical,gls_correct,0.4,0.429496608455791,0.21674272386695567,0.6355919040550123,0.4949635360877011,24.750682230408163,1.156042021084392,1.156042021084392,3149.875370075582,84492.62823538599,839.2756385189323,0.6593333333333333,0.9327777777777778,0.5387777777777778,0.8523333333333333,0.3775555555555556,0.6707037037037037,0.6593333333333333,0.9327777777777778,0.5387777777777778,0.8523333333333333,0.3775555555555556,0.6707037037037037
3,retuned_practical,gls_correct,0.8,0.6863625713405933,0.33674210392689835,0.8139914878818697,0.6465470823478041,32.00992098057153,1.0920357579009148,1.0920357579009148,3149.875370075582,10284.306692008782,414.87127937458723,0.6685555555555555,0.9367777777777778,0.5011111111111112,0.8043333333333332,0.46570370370370373,0.7735185185185185,0.6685555555555555,0.9367777777777778,0.5011111111111112,0.8043333333333332,0.46570370370370373,0.7735185185185185
3,retuned_practical,gls_flattened,0.05,0.1420199185457026,0.13251098081263185,0.6598288904112791,0.4993710982496035,22.68718805005729,2.923128882301112,3.165269865862316,4009.4755783400938,2346318.0085194483,1337.185017153044,0.3812222222222222,0.6537777777777778,0.2353333333333333,0.4326666666666667,0.1297037037037037,0.2474814814814815,0.38066666666666665,0.6482222222222221,0.23355555555555554,0.429,0.12248148148148148,0.23314814814814813
3,retuned_practical,gls_flattened,0.1,0.17760403889801601,0.1462120377636907,0.581333829337192,0.4437764242144339,22.225370436274492,1.8025579806929304,1.912560274579608,4009.4755783400938,120835.80943359941,905.5156808425704,0.4942222222222222,0.7883333333333334,0.2786666666666667,0.48588888888888887,0.11551851851851852,0.22825925925925927,0.49066666666666664,0.7784444444444444,0.27744444444444444,0.4852222222222222,0.10840740740740741,0.21225925925925926
3,retuned_practical,gls_flattened,0.2,0.25669108169964333,0.16357116855573142,0.5930321530178543,0.4549252911522086,22.622310732532483,1.2947397244346737,1.3413633218790437,4009.4755783400938,120835.80943359941,905.5156808425704,0.6121111111111112,0.9023333333333333,0.4241111111111111,0.7151111111111111,0.2255925925925926,0.43533333333333335,0.6054444444444445,0.8915555555555555,0.4223333333333333,0.7044444444444444,0.21174074074074076,0.40525925925925926
3,retuned_practical,gls_flattened,0.4,0.43037700606550394,0.2190436629830624,0.6432479653443512,0.5008628393370504,25.146866970526336,1.1332809514243403,1.157646147466952,4009.4755783400938,112435.11130520566,851.70446422553,0.6678888888888889,0.9357777777777777,0.5535555555555556,0.8663333333333333,0.4015555555555556,0.7026296296296296,0.6601111111111111,0.9329999999999999,0.5458888888888889,0.8561111111111112,0.37640740740740736,0.665
3,retuned_practical,gls_flattened,0.8,0.6863816286772475,0.33596247712814487,0.8391677278009971,0.6639772242718686,33.278507251375785,1.0744201989968907,1.0933937936578697,4009.4755783400938,6352.422362706989,417.65651628203767,0.6819999999999999,0.9390000000000001,0.5175555555555555,0.8207777777777778,0.4880740740740741,0.7976666666666667,0.6678888888888889,0.9373333333333332,0.5076666666666666,0.8087777777777778,0.45822222222222225,0.764074074074074
3,retuned_practical,ols,0.05,0.14303134995425681,0.13362371336466286,0.6604497911809277,0.49992974891577857,23.090870203927338,2.8472359347184377,3.2485055838937646,4250.0,2885559.3324344046,1337.5598018003416,0.37822222222222224,0.6548888888888889,0.23766666666666666,0.429,0.13437037037037036,0.2574444444444444,0.3807777777777778,0.6491111111111111,0.23544444444444446,0.43322222222222223,0.12396296296296296,0.23625925925925928
3,retuned_practical,ols,0.1,0.1776916953743344,0.14645205979453518,0.5950524202801883,0.4537822652876371,22.706532862861323,1.774400339002548,1.94121259863821,4250.0,155758.59090116413,906.0929479583865,0.49477777777777776,0.7945555555555556,0.28099999999999997,0.4898888888888889,0.11862962962962964,0.23544444444444446,0.4928888888888889,0.7772222222222221,0.2832222222222222,0.4937777777777778,0.1082962962962963,0.21507407407407408
3,retuned_practical,ols,0.2,0.2571677188684972,0.16459178008665215,0.6069051913775394,0.46512071958790396,23.390327824840142,1.3020448317203692,1.3514619025211438,4250.0,155758.59090116413,906.0929479583865,0.6112222222222222,0.9011111111111111,0.42711111111111116,0.7168888888888888,0.22937037037037036,0.44051851851851853,0.6024444444444444,0.8892222222222222,0.4261111111111111,0.7111111111111111,0.20892592592592593,0.39862962962962967
3,retuned_practical,ols,0.4,0.4316072339560739,0.22216765273326056,0.6574004047210233,0.5115511471400825,26.002731023293578,1.153637359867517,1.1614407542851566,4250.0,144843.88224335073,851.4958051180971,0.6645555555555556,0.9303333333333333,0.5534444444444445,0.8611111111111112,0.4104814814814815,0.7131481481481482,0.6598888888888889,0.9318888888888889,0.5458888888888889,0.8548888888888889,0.3712962962962963,0.652888888888889
3,retuned_practical,ols,0.8,0.687086057399282,0.33786176429956377,0.8788735345968783,0.6922974918644397,35.607022366178285,1.0949590466326808,1.096891032429452,4250.0,6228.135772422868,415.4139192379311,0.6832222222222222,0.9336666666666668,0.5223333333333333,0.821888888888889,0.48588888888888887,0.7931851851851852,0.6683333333333333,0.9375555555555556,0.5112222222222222,0.8157777777777778,0.4459259259259259,0.7467407407407407
3,retuned_raw,gls_correct,0.05,0.13849615751408126,0.12893081214820387,0.6811953823227594,0.5145783265106151,22.112793426544417,3.0513722797132075,3.0513722797132075,3149.875370075582,3787684.4323854186,1666.84733022604,,,,,,,,,,,,
3,retuned_raw,gls_correct,0.1,0.17843353022370678,0.14727517021982933,0.5735438915306722,0.43827778218064317,21.886808511121796,1.899191203638866,1.899191203638866,3149.875370075582,94255.85723191685,925.1338009198033,,,,,,,,,,,,
3,retuned_raw,gls_correct,0.2,0.25712151743954886,0.16413011788107915,0.5852516797331663,0.4493930651570526,22.32615346935158,1.3388432061856017,1.3388432061856017,3149.875370075582,91962.27905154537,903.4308960330499,,,,,,,,,,,,
