protocol,comparison,noise_fraction,metric,n_seed_pairs,n_runs,delta_mean,delta_median,delta_ci_low,delta_ci_high,seed_mean_wins_left_lower,seed_mean_losses_left_higher,seed_mean_ties,seed_mean_sign_test_pvalue_two_sided
matched_correct_gls_practical,flattened_minus_ols,0.4,test_observed_nrmse_radial,5,60,-0.0012883371844485995,-0.001274979666150644,-0.0016699330663975326,-0.0009729873862808345,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_ols,0.4,test_latent_nrmse_radial,5,60,-0.0030173891116631155,-0.0028896589734404288,-0.0036410857492864754,-0.0023946759746162455,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_ols,0.4,test_hidden_nrmse_tangential,5,60,-0.010215759165032033,-0.010331180163077158,-0.012815024426841454,-0.007711401338314283,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_ols,0.4,test_hidden_nrmse_3d,5,60,-0.007939719975268983,-0.00803261986124873,-0.009807728013908642,-0.006197769734370612,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_ols,0.4,test_working_measurement_whitened_residual_rms,5,60,-0.014768972495867982,-0.016532840921072656,-0.020330687135836314,-0.008582122267872229,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_ols,0.4,test_true_measurement_whitened_residual_rms,5,60,-0.005223409259089677,-0.004821474506552903,-0.006921595652485,-0.0035241390618717568,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_ols,0.8,test_observed_nrmse_radial,5,60,-0.0008047935105094421,-0.000859824515479779,-0.001132234494662142,-0.0004553392586438821,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_ols,0.8,test_latent_nrmse_radial,5,60,-0.002552123637054805,-0.002555962813545226,-0.0033782986790595556,-0.001671704827683274,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_ols,0.8,test_hidden_nrmse_tangential,5,60,-0.03441987114157538,-0.03412066518256224,-0.038545961708208835,-0.03013019008025779,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_ols,0.8,test_hidden_nrmse_3d,5,60,-0.02509573195421381,-0.02514793665767162,-0.028038857875504565,-0.022057346664175814,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_ols,0.8,test_working_measurement_whitened_residual_rms,5,60,-0.014626394433358409,-0.016051675748512184,-0.019942022603555806,-0.008686227106281742,5,0,0,0.0625
matched_correct_gls_practical,flattened_minus_ols,0.8,test_true_measurement_whitened_residual_rms,5,60,-0.005796019070351163,-0.004616018553005974,-0.008405847431842332,-0.0037934310452697913,5,0,0,0.0625
