seed_pair_index,working_model,noise_fraction,global_scale_factor,measurement_whitened_residual_rms,coverage_observed_radial_68,coverage_observed_radial_95,coverage_latent_radial_68,coverage_latent_radial_95
0,ols,0.2,1.0,1.251796077503206,0.6234444444444445,0.9082222222222223,0.4434444444444445,0.7401111111111112
0,ols,0.2,2.0,0.625898038751603,0.9151111111111111,0.9983333333333334,0.7483333333333334,0.9687777777777778
0,ols,0.4,0.5,2.256210836637528,0.3858888888888889,0.6674444444444445,0.31544444444444447,0.5741111111111111
0,ols,0.4,1.0,1.128105418318764,0.6754444444444445,0.9390000000000001,0.5843333333333334,0.8807777777777778
0,ols,0.4,2.0,0.564052709159382,0.9434444444444444,0.999,0.8887777777777778,0.996
0,ols,0.8,0.5,2.179799703298276,0.38033333333333336,0.6643333333333333,0.2776666666666667,0.508
0,ols,0.8,1.0,1.089899851649138,0.672888888888889,0.9383333333333334,0.5188888888888888,0.8221111111111111
0,ols,0.8,2.0,0.544949925824569,0.9433333333333334,0.9992222222222221,0.8286666666666668,0.9836666666666667
1,gls_correct,0.05,0.5,7.220431236169909,0.18733333333333332,0.3524444444444444,0.112,0.2101111111111111
1,gls_correct,0.05,1.0,3.6102156180849545,0.3591111111111111,0.6312222222222222,0.215,0.4121111111111111
1,gls_correct,0.05,2.0,1.8051078090424773,0.6405555555555555,0.8978888888888888,0.4186666666666667,0.7065555555555556
1,gls_correct,0.1,0.5,3.9214966932231583,0.24666666666666667,0.46900000000000003,0.12666666666666668,0.2448888888888889
1,gls_correct,0.1,1.0,1.9607483466115792,0.47633333333333333,0.7781111111111111,0.24833333333333332,0.4606666666666666
1,gls_correct,0.1,2.0,0.9803741733057896,0.7871111111111112,0.9698888888888889,0.46855555555555556,0.7465555555555555
1,gls_correct,0.2,0.5,2.708794796725611,0.3208888888888889,0.593111111111111,0.21444444444444444,0.4056666666666667
1,gls_correct,0.2,1.0,1.3543973983628055,0.6016666666666667,0.8971111111111111,0.41244444444444445,0.6966666666666667
1,gls_correct,0.2,2.0,0.6771986991814027,0.9015555555555556,0.9954444444444445,0.7071111111111111,0.9418888888888889
1,gls_correct,0.4,0.5,2.3165207048323784,0.3642222222222222,0.6443333333333333,0.2976666666666667,0.5473333333333333
1,gls_correct,0.4,1.0,1.1582603524161892,0.6537777777777778,0.9367777777777778,0.5558888888888889,0.8544444444444445
1,gls_correct,0.4,2.0,0.5791301762080946,0.9414444444444444,0.9994444444444445,0.8602222222222222,0.9924444444444444
1,gls_correct,0.8,0.5,2.190681726980579,0.36833333333333335,0.6514444444444445,0.27255555555555555,0.4982222222222222
1,gls_correct,0.8,1.0,1.0953408634902895,0.6607777777777778,0.940111111111111,0.5056666666666666,0.8007777777777778
1,gls_correct,0.8,2.0,0.5476704317451447,0.9456666666666668,0.9998888888888889,0.8096666666666666,0.9837777777777778
1,gls_flattened,0.05,0.5,6.534484999826684,0.19399999999999998,0.3564444444444444,0.10733333333333334,0.21477777777777776
1,gls_flattened,0.05,1.0,3.267242499913342,0.36433333333333334,0.6411111111111111,0.21944444444444444,0.41288888888888886
1,gls_flattened,0.05,2.0,1.633621249956671,0.6501111111111111,0.906,0.4186666666666667,0.7075555555555555
1,gls_flattened,0.1,0.5,3.63439738989153,0.2528888888888889,0.48277777777777775,0.13566666666666666,0.25866666666666666
1,gls_flattened,0.1,1.0,1.817198694945765,0.4914444444444444,0.7951111111111112,0.26311111111111113,0.4861111111111111
1,gls_flattened,0.1,2.0,0.9085993474728825,0.8037777777777778,0.9774444444444444,0.49322222222222223,0.7724444444444445
1,gls_flattened,0.2,0.5,2.5678243405446084,0.33055555555555555,0.6085555555555556,0.22544444444444445,0.42088888888888887
1,gls_flattened,0.2,1.0,1.2839121702723042,0.618,0.9088888888888889,0.4286666666666667,0.7204444444444444
1,gls_flattened,0.2,2.0,0.6419560851361521,0.9156666666666666,0.9974444444444445,0.7286666666666667,0.9534444444444444
1,gls_flattened,0.4,0.5,2.2309787477931287,0.3741111111111111,0.6566666666666666,0.309,0.5648888888888889
