protocol,working_model,working_model_label,noise_fraction,n_seed_pairs,test_observed_nrmse_radial_mean_equal_seed_weight,test_observed_nrmse_radial_std_between_seeds,test_observed_nrmse_radial_sem_between_seeds,test_latent_nrmse_radial_mean_equal_seed_weight,test_latent_nrmse_radial_std_between_seeds,test_latent_nrmse_radial_sem_between_seeds,test_hidden_nrmse_tangential_mean_equal_seed_weight,test_hidden_nrmse_tangential_std_between_seeds,test_hidden_nrmse_tangential_sem_between_seeds,test_hidden_nrmse_3d_mean_equal_seed_weight,test_hidden_nrmse_3d_std_between_seeds,test_hidden_nrmse_3d_sem_between_seeds,test_hidden_direction_error_median_deg_mean_equal_seed_weight,test_hidden_direction_error_median_deg_std_between_seeds,test_hidden_direction_error_median_deg_sem_between_seeds,test_working_measurement_whitened_residual_rms_mean_equal_seed_weight,test_working_measurement_whitened_residual_rms_std_between_seeds,test_working_measurement_whitened_residual_rms_sem_between_seeds,test_true_measurement_whitened_residual_rms_mean_equal_seed_weight,test_true_measurement_whitened_residual_rms_std_between_seeds,test_true_measurement_whitened_residual_rms_sem_between_seeds,precision_effective_sample_size_fit_mean_equal_seed_weight,precision_effective_sample_size_fit_std_between_seeds,precision_effective_sample_size_fit_sem_between_seeds,normal_matrix_condition_mean_equal_seed_weight,normal_matrix_condition_std_between_seeds,normal_matrix_condition_sem_between_seeds,effective_degrees_of_freedom_mean_equal_seed_weight,effective_degrees_of_freedom_std_between_seeds,effective_degrees_of_freedom_sem_between_seeds,coverage_model_observed_radial_68_mean_equal_seed_weight,coverage_model_observed_radial_68_std_between_seeds,coverage_model_observed_radial_68_sem_between_seeds,coverage_model_observed_radial_95_mean_equal_seed_weight,coverage_model_observed_radial_95_std_between_seeds,coverage_model_observed_radial_95_sem_between_seeds,coverage_model_latent_radial_68_mean_equal_seed_weight,coverage_model_latent_radial_68_std_between_seeds,coverage_model_latent_radial_68_sem_between_seeds,coverage_model_latent_radial_95_mean_equal_seed_weight,coverage_model_latent_radial_95_std_between_seeds,coverage_model_latent_radial_95_sem_between_seeds,coverage_model_latent_component_68_mean_equal_seed_weight,coverage_model_latent_component_68_std_between_seeds,coverage_model_latent_component_68_sem_between_seeds,coverage_model_latent_component_95_mean_equal_seed_weight,coverage_model_latent_component_95_std_between_seeds,coverage_model_latent_component_95_sem_between_seeds,coverage_oracle_observed_radial_68_mean_equal_seed_weight,coverage_oracle_observed_radial_68_std_between_seeds,coverage_oracle_observed_radial_68_sem_between_seeds,coverage_oracle_observed_radial_95_mean_equal_seed_weight,coverage_oracle_observed_radial_95_std_between_seeds,coverage_oracle_observed_radial_95_sem_between_seeds,coverage_oracle_latent_radial_68_mean_equal_seed_weight,coverage_oracle_latent_radial_68_std_between_seeds,coverage_oracle_latent_radial_68_sem_between_seeds,coverage_oracle_latent_radial_95_mean_equal_seed_weight,coverage_oracle_latent_radial_95_std_between_seeds,coverage_oracle_latent_radial_95_sem_between_seeds,coverage_oracle_latent_component_68_mean_equal_seed_weight,coverage_oracle_latent_component_68_std_between_seeds,coverage_oracle_latent_component_68_sem_between_seeds,coverage_oracle_latent_component_95_mean_equal_seed_weight,coverage_oracle_latent_component_95_std_between_seeds,coverage_oracle_latent_component_95_sem_between_seeds
matched_correct_gls_practical,ols,OLS,0.05,5,0.1435649103272414,0.012321397654404759,0.005510296546611101,0.13500241132204358,0.012539004600118187,0.005607613331209366,0.6438941210658278,0.048589176410967,0.021729740285130295,0.4930789020806035,0.03475907746534579,0.015544732009538854,21.895333975353534,1.1877618601033129,0.5311832520545205,2.862220905326798,0.161515841051085,0.07223208000665542,3.245788341030157,0.2614865108401132,0.11694032268754574,4250.0,0.0,0.0,1851837.6683200959,1060054.7165513714,474070.88121562754,1208.1385704093548,211.30010389680334,94.49627919320409,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
matched_correct_gls_practical,ols,OLS,0.1,5,0.16940672234479615,0.011286667775757764,0.005047551277210142,0.1385096730612686,0.011993247844253947,0.005363543490150927,0.59219143763487,0.02249991817192141,0.010062269304119813,0.45536811062223564,0.015881042744761414,0.007102218226173272,21.137333415807213,1.2387689634992263,0.5539943221602451,1.6953926699571855,0.07203368614001804,0.03221444377579295,1.883530604717,0.11761442596233607,0.052598770317279914,4250.0,0.0,0.0,128620.44957623813,30962.146068256516,13846.692667579882,906.1304258311991,1.1677611458126356,0.5222386607040194,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
matched_correct_gls_practical,ols,OLS,0.2,5,0.2483782207150687,0.01046640315685537,0.0046807177877294,0.15645589170253515,0.011775841196514094,0.005266316281529594,0.6034516722598937,0.023714930897966835,0.010605639513912794,0.46613694444142945,0.01670156389299844,0.007469166439060108,21.771976854489555,1.1864831597014789,0.5306113998502492,1.2610537806787616,0.028436482474453385,0.012717181570771839,1.3279848785507506,0.04332763177878557,0.019376705992288933,4250.0,0.0,0.0,128620.44957623813,30962.146068256516,13846.692667579882,906.1304258311991,1.1677611458126356,0.5222386607040194,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
matched_correct_gls_practical,ols,OLS,0.4,5,0.4210333814641121,0.010825240328202847,0.00484119464932674,0.21343959575029423,0.012816454426949724,0.005731692665837539,0.652434865467414,0.025047129047822077,0.011201416638427948,0.5111933932426418,0.017894516292113215,0.008002670970728525,24.443306091866067,1.200781035083006,0.5370056041076322,1.1278971679588834,0.015733600694303247,0.0070362801366599895,1.149762699811438,0.016073594972250353,0.007188330200150127,4250.0,0.0,0.0,118517.23575916824,28298.132263509935,12655.309475497641,851.4162873105863,1.1880780106495523,0.5313246388770236,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
matched_correct_gls_practical,ols,OLS,0.8,5,0.6777570714812002,0.008224564825713595,0.0036781372071298616,0.3327981288667333,0.01530303911433585,0.006843727144398628,0.8602840093462415,0.0363543324284527,0.01625815171732905,0.684075438329548,0.026022748459749646,0.011637726903475632,34.37919820121589,1.6422310825446773,0.7344280670665934,1.078317946855299,0.013886875482508904,0.00621039951479302,1.0964997346559322,0.013268374949672559,0.005933797667684638,4250.0,0.0,0.0,6569.076618987589,908.3959245371649,406.24700754977397,414.397445990876,1.7746196613309184,0.7936340393887177,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0
retuned_practical,gls_correct,Correct GLS,0.05,5,0.14458084195844506,0.01249476953813325,0.00558783081009192,0.13604131890591553,0.012731715986141909,0.005693796483046815,0.641231885396033,0.053995896224486244,0.024147698892795097,0.49120611082551735,0.03807427303028098,0.017027332537919035,21.21136565773417,1.1030842147221291,0.493314257805131,3.1642800110761296,0.25653267715803213,0.11472490091507348,3.1642800110761296,0.25653267715803213,0.11472490091507348,3108.895983473714,23.636080136976016,10.570376381582182,1252429.2197826707,712092.2713994953,318457.3450203001,1200.781284797701,214.24940472534925,95.81524662094911,0.35213333333333335,0.02138266864819542,0.009562620127543699,0.619688888888889,0.027251277011645383,0.01218714157434328,0.19337777777777776,0.039133484762152594,0.017501026424925077,0.36666666666666664,0.06878944435246578,0.030763574741310497,0.10591851851851852,0.02854310388078914,0.012764864113256513,0.20413333333333333,0.054985941587744135,0.02459046063940572,0.35213333333333335,0.02138266864819542,0.009562620127543699,0.619688888888889,0.027251277011645383,0.01218714157434328,0.19337777777777776,0.039133484762152594,0.017501026424925077,0.36666666666666664,0.06878944435246578,0.030763574741310497,0.10591851851851852,0.02854310388078914,0.012764864113256513,0.20413333333333333,0.054985941587744135,0.02459046063940572
retuned_practical,gls_correct,Correct GLS,0.1,5,0.17004803584097947,0.010863709889012665,0.004858398759933802,0.13919405386771616,0.011546725353562973,0.00516385256161742,0.5754810708485383,0.02621174852888283,0.011722250303942423,0.4431304573896827,0.018912871159910985,0.008458093112651251,20.017011298380243,1.3771615872277339,0.6158853850085437,1.8294181276791694,0.09891254515310857,0.04423503495797362,1.8294181276791694,0.09891254515310854,0.04423503495797361,3108.895983473714,23.636080136976016,10.570376381582182,81221.62446499456,10851.618799245021,4852.991460205302,891.620144009417,1.6491286310334887,0.73751274452641,0.48848888888888886,0.009257162725608491,0.004139929026647564,0.7888666666666667,0.012393596514648261,0.005542584858491596,0.2571333333333333,0.007950230992839534,0.003555451387362968,0.4699777777777777,0.01227322690922937,0.005488753934463303,0.11991851851851851,0.008790715578614052,0.003931327520929483,0.2308666666666667,0.015229983603034417,0.006811055726518425,0.48848888888888886,0.009257162725608491,0.004139929026647564,0.7888666666666667,0.012393596514648261,0.005542584858491596,0.2571333333333333,0.007950230992839534,0.003555451387362968,0.4699777777777777,0.01227322690922937,0.005488753934463303,0.11991851851851851,0.008790715578614052,0.003931327520929483,0.2308666666666667,0.015229983603034417,0.006811055726518425
retuned_practical,gls_correct,Correct GLS,0.2,5,0.24784471389730736,0.010013038867828125,0.0044779671139622435,0.15539814120659506,0.011210190763089913,0.005013349717401857,0.587231866438354,0.02699908652529802,0.012074358560192993,0.45407155631631024,0.019400732624880075,0.008676271392505954,20.712619660441344,1.2395032000120458,0.5543226827110905,1.3077731614535941,0.03640372608887985,0.016280241233803578,1.3077731614535941,0.036403726088879824,0.016280241233803568,3108.895983473714,23.636080136976016,10.570376381582182,81221.62446499456,10851.618799245021,4852.991460205302,891.620144009417,1.6491286310334887,0.73751274452641,0.6081555555555556,0.0052976817664677905,0.002369195310596629,0.9014888888888889,0.0074513235215109,0.0033323331832882976,0.41904444444444444,0.01131523609569128,0.005060327418285004,0.7090444444444445,0.015545949414875778,0.006952359933287064,0.2254888888888889,0.010602701728833907,0.004741672362165432,0.4263407407407408,0.01675604429977829,0.007493530817660424,0.6081555555555556,0.0052976817664677905,0.002369195310596629,0.9014888888888889,0.0074513235215109,0.0033323331832882976,0.41904444444444444,0.01131523609569128,0.005060327418285004,0.7090444444444445,0.015545949414875778,0.006952359933287064,0.2254888888888889,0.010602701728833907,0.004741672362165432,0.4263407407407408,0.01675604429977829,0.007493530817660424
retuned_practical,gls_correct,Correct GLS,0.4,5,0.41877682194771665,0.010331034633545321,0.004620179143702393,0.208128664796393,0.011982547985135482,0.005358758367683215,0.6374490483245866,0.027004621360092313,0.012076833813561847,0.49939063578688964,0.019558991891807237,0.008747047088289639,23.420676166471694,1.127652343414578,0.5043014589723868,1.1417835470036861,0.01442427857960558,0.006450733486078437,1.1417835470036861,0.01442427857960558,0.006450733486078437,3108.895983473714,23.636080136976016,10.570376381582182,75065.57837259983,10222.093766829945,4571.459307001728,839.664543926483,1.6506570618072056,0.7381962795481967,0.6576666666666666,0.002905932629027102,0.0012995725793078557,0.9371111111111112,0.0028131086447049105,0.0012580604315304967,0.5562666666666666,0.011653855399781338,0.005211762574772812,0.8616444444444443,0.009112940195806463,0.004075430750542699,0.388,0.012654504665935838,0.00565926653092416,0.6760814814814815,0.011841036732129186,0.005295472611422565,0.6576666666666666,0.002905932629027102,0.0012995725793078557,0.9371111111111112,0.0028131086447049105,0.0012580604315304967,0.5562666666666666,0.011653855399781338,0.005211762574772812,0.8616444444444443,0.009112940195806463,0.004075430750542699,0.388,0.012654504665935838,0.00565926653092416,0.6760814814814815,0.011841036732129186,0.005295472611422565
retuned_practical,gls_correct,Correct GLS,0.8,5,0.6768831269480089,0.00828225739115686,0.0037039381067553606,0.3301448376822173,0.015194814170992397,0.006795327478363222,0.8033026345306356,0.03733522544090116,0.01669682040822691,0.6429392580400457,0.026801776057811286,0.011986118636598474,31.154338626585762,1.5144776701643559,0.6772950041786009,1.0881868915572892,0.010239661722849071,0.004579315935778627,1.0881868915572892,0.010239661722849071,0.004579315935778627,3108.895983473714,23.636080136976016,10.570376381582182,8649.460343630082,1557.6491645670342,696.601883413529,413.20081743512964,1.6744416140476077,0.7488330546729834,0.6633333333333333,0.005034449226315201,0.0022514741398624023,0.9407333333333334,0.0033097312561074176,0.0014801568151823904,0.5077333333333334,0.008604692948661279,0.003848135671743945,0.8115777777777777,0.013873191128891935,0.006204279685809883,0.4591555555555555,0.012500820274869238,0.005590536781823044,0.7614296296296297,0.016480307906615237,0.007370217753863785,0.6633333333333333,0.005034449226315201,0.0022514741398624023,0.9407333333333334,0.0033097312561074176,0.0014801568151823904,0.5077333333333334,0.008604692948661279,0.003848135671743945,0.8115777777777777,0.013873191128891935,0.006204279685809883,0.4591555555555555,0.012500820274869238,0.005590536781823044,0.7614296296296297,0.016480307906615237,0.007370217753863785
